Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Package,"(Unnamed_Package)",,192,,,,36
Public Class,"A",1,3,,3,0,0
Public Class,"A",0,6,,1,0,0
Public Class,"A",0,4,,1,0,0
Public Class,"A",1,3,,1,0,0
Private Static Class,"A.Inner",0,4,,1,0,0
Private Static Class,"A.Inner",0,2,,3,0,0
Private Static Class,"A.Inner.Inner2",0,2,,3,0,0
File,"A.java",,3,,,,0
File,"A.java",,6,,,,0
File,"A.java",,17,,,,3
File,"A.java",,4,,,,0
File,"A.java",,5,,,,0
File,"ANTLR.java",,191,,,,43
File,"ANTLRTest.java",,70,,,,18
Class,"APrivate",0,2,,3,0,0
File,"AbstractAnalyzer.java",,113,,,,27
File,"AbstractComponent.java",,26,,,,6
File,"AbstractConverter.java",,13,,,,3
File,"AbstractCvsTask.java",,366,,,,89
File,"AbstractCvsTaskTest.java",,32,,,,7
File,"AbstractFileSet.java",,262,,,,61
File,"AbstractFileSetTest.java",,202,,,,22
File,"AbstractHotDeploymentTool.java",,55,,,,16
File,"AbstractMetamataTask.java",,197,,,,41
File,"AbstractTask.java",,18,,,,4
File,"AbstractXSLTLiaisonTest.java",,58,,,,7
File,"AggregateTransformer.java",,108,,,,20
File,"AncestorAnalyzer.java",,79,,,,17
File,"And.java",,15,,,,2
File,"AndSelector.java",,29,,,,6
File,"AnsiColorLogger.java",,128,,,,19
File,"Ant.java",,77,,,,15
File,"Ant.java",,223,,,,43
File,"Ant.java",,42,,,,7
File,"Ant.java",,253,,,,55
File,"Ant1CompatBuilder.java",,45,,,,4
File,"Ant1Converter.java",,36,,,,8
File,"Ant1Factory.java",,87,,,,14
File,"Ant1InputHandler.java",,18,,,,3
File,"AntAnalyzer.java",,95,,,,18
File,"AntBase.java",,52,,,,12
File,"AntCall.java",,15,,,,2
File,"AntClassLoader.java",,160,,,,26
File,"AntClassLoaderTest.java",,38,,,,8
File,"AntConfig.java",,49,,,,9
File,"AntConfigHandler.java",,47,,,,7
File,"AntContext.java",,10,,,,0
File,"AntException.java",,67,,,,17
File,"AntFilterReader.java",,74,,,,18
File,"AntLibDefinition.java",,21,,,,4
File,"AntLibFactory.java",,13,,,,0
File,"AntLibHandler.java",,79,,,,11
File,"AntLibManager.java",,182,,,,35
File,"AntLibrary.java",,103,,,,21
File,"AntLibrarySpec.java",,92,,,,22
File,"AntResolver.java",,69,,,,10
File,"AntSoundPlayer.java",,110,,,,26
File,"AntStarTeamCheckOut.java",,366,,,,82
File,"AntStructure.java",,155,,,,21
File,"AntStructureTest.java",,13,,,,3
File,"AntTest.java",,356,,,,83
File,"AntXDocletTask.java",,31,,,,5
File,"Antidote.html",,0,0,,,0
File,"Antjar.java",,60,,,,9
File,"Antlib.java",,439,,,,97
File,"ArrayEnumeration.java",,24,,,,4
File,"AsiExtraField.java",,121,,,,23
File,"AsiExtraFieldTest.java",,97,,,,7
File,"AttributeInfo.java",,14,,,,0
File,"AttributeSetter.java",,49,,,,9
File,"Available.java",,291,,,,70
File,"AvailableTest.java",,113,,,,28
Public Class,"B",0,2,,2,0,0
Public Class,"B",0,2,,1,0,0
Public Class,"B",0,2,,1,0,0
Public Class,"B",0,2,,1,0,0
File,"B.java",,2,,,,0
File,"B.java",,10,,,,1
File,"B.java",,2,,,,0
File,"B.java",,2,,,,0
File,"B.java",,2,,,,0
File,"BUnzip2.java",,67,,,,15
File,"BUnzip2Test.java",,21,,,,4
File,"BZip2.java",,28,,,,4
File,"BZip2Constants.java",,67,,,,0
File,"BZip2Test.java",,28,,,,5
File,"Base64Encode.java",,30,,,,6
File,"BaseExtendSelector.java",,20,,,,3
File,"BaseFilterReader.java",,78,,,,20
File,"BaseFormatter.java",,26,,,,10
File,"BaseParamFilterReader.java",,22,,,,4
File,"BaseSelector.java",,30,,,,8
File,"BaseSelectorContainer.java",,102,,,,28
File,"BaseSelectorTest.java",,114,,,,24
File,"BaseStreamFormatter.java",,52,,,,10
File,"BaseTest.java",,69,,,,18
File,"BaseTestElement.java",,35,,,,7
File,"Basename.java",,36,,,,8
