Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
wildfly-8.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,1,1,6,6,30,6,0,0,1.0,2,0
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ActiveApplicationClientProcessor,1,0,3,3,46,11,0,0,0.6666666666666666,0,1
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,AppClientAttachments,4,4,1,0,11,1,0,0,0.0,4,0
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,AppClientJBossAllParser,2,2,1,1,11,1,0,0,0.0,2,0
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,2,2,3,3,35,7,0,0,1.0,0,0
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientManifestProcessor,0,0,2,2,41,7,0,0,-1.0,0,2
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,2,0,5,2,112,15,0,0,0.4,0,2
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStartProcessor,3,0,4,4,116,14,0,0,0.75,0,5
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStructureProcessor,1,0,4,3,57,10,0,0,0.5,1,1
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ForwardingEjbClientConfiguration,1,0,10,9,36,10,0,0,0.0,0,0
wildfly-8.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,1,0,3,0,26,3,0,0,-1.0,2,1
wildfly-8.0.0.Final,org.jboss.as.appclient.logging,AppClientMessages,1,0,30,0,170,30,0,0,-1.0,3,1
wildfly-8.0.0.Final,org.jboss.as.appclient.service,ApplicationClientDeploymentService,6,1,11,7,73,13,0,0,0.45454545454545453,2,4
wildfly-8.0.0.Final,org.jboss.as.appclient.service,DeployTask,0,0,3,0,24,4,0,0,-1.0,1,1
wildfly-8.0.0.Final,org.jboss.as.appclient.service,DeploymentTask,1,0,2,1,18,3,0,0,0.0,0,1
wildfly-8.0.0.Final,org.jboss.as.appclient.service,ApplicationClientStartService,12,1,11,10,123,22,0,0,0.36363636363636365,1,0
wildfly-8.0.0.Final,org.jboss.as.appclient.service,SetSelectorAction,1,0,2,1,9,2,0,0,0.0,0,0
wildfly-8.0.0.Final,org.jboss.as.appclient.service,DefaultApplicationClientCallbackHandler,2,1,4,3,69,15,0,0,0.75,0,0
