Project Name,Package Name,Type Name,Method Name,Code Smell
ant-rel-1.10.5,(default package),AssertionTest,testAssertRaised,Empty catch clause
ant-rel-1.10.5,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant-rel-1.10.5,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant-rel-1.10.5,(default package),AssertionTest,testAssertNotRaised,Magic Number
ant-rel-1.10.5,(default package),Find,execute,Complex Method
ant-rel-1.10.5,(default package),Find,execute,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,findNextResource,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,setClassPath,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,addPathFile,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,addPathFile,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,addPathFile,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,initializeClass,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,getResourceAsStream,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,loadResource,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,getResourceStream,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,isParentFirst,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,getResource,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,findResources,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,append,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,definePackage,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,definePackage,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,definePackage,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,isZip,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntClassLoader,isZip,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,ResourceEnumeration,findNextResource,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,AntTypeDefinition,icreate,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,AntTypeDefinition,checkClass,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,AntTypeDefinition,sameDefinition,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AntTypeDefinition,similarDefinition,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ArgumentProcessorRegistry,collectArgumentProcessors,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ArgumentProcessorRegistry,getProcessor,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ArgumentProcessorRegistry,getProcessor,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ComponentHelper,initSubProject,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ComponentHelper,getTaskDefinitions,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ComponentHelper,getDataTypeDefinitions,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ComponentHelper,createNewTask,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ComponentHelper,updateDataTypeDefinition,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ComponentHelper,diagnoseCreationFailure,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,ComponentHelper,diagnoseCreationFailure,Long Method
ant-rel-1.10.5,org.apache.tools.ant,Diagnostics,doReportTempDir,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,Diagnostics,doReportTempDir,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,Diagnostics,doReportLocale,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,addExcludes,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,scan,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,scan,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,scan,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,checkIncludePatterns,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,slowScan,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,scandir,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,scandir,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,scandir,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,scandir,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,accountForIncludedDir,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,accountForNotFollowedSymlink,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,accountForNotFollowedSymlink,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,processIncluded,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,processIncluded,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,isIncluded,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,couldHoldIncluded,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,couldHoldIncluded,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,contentsExcluded,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,isExcluded,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,addDefaultExcludes,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,causesIllegalSymlinkLoop,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,DirectoryScanner,causesIllegalSymlinkLoop,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,isHiddenSetMethod,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,addText,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getNestedCreator,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getNestedCreator,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getNestedCreator,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getElementCreator,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,supportsNestedElement,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getElementType,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getAttributeType,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getElementMethod,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getAttributeMethod,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Method
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,set,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getEnumSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,getEnumSetter,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,set,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,setObject,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAddTypeCreator,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createAddTypeCreator,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,findMatchingMethod,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,condenseText,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,findRestrictedDefinition,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,IntrospectionHelper,createRestricted,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,AttributeSetter,setObject,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Main,startAnt,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Main,processArgs,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,Main,processArgs,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,Main,processArgs,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,Main,processArgs,Long Method
ant-rel-1.10.5,org.apache.tools.ant,Main,processArgs,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Main,processArgs,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Main,handleArgDefine,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,Main,loadPropertyFiles,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Main,runBuild,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,Main,runBuild,Long Method
ant-rel-1.10.5,org.apache.tools.ant,Main,printUsage,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Main,printTargets,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,Main,printTargets,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,Main,printTargets,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Main,printTargets,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,NoBannerLogger,messageLogged,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,PathTokenizer,nextToken,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,PathTokenizer,nextToken,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,PathTokenizer,nextToken,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,Project,executeSortedTargets,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,Project,executeSortedTargets,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Project,copyFile,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,Project,copyFile,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,Project,getProject,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,Project,topoSort,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Project,tsort,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,Project,getReference,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,Project,setProjectReference,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,parse,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,addText,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,genComponentName,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,addLocationToBuildException,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,resolveExtensionOfAttributes,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,resolveExtensionOfAttributes,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,resolveExtensionOfAttributes,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,resolveExtensionOfAttributes,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelper,resolveExtensionOfAttributes,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelperRepository,collectProjectHelpers,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelperRepository,getProjectHelperBySystemProperty,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelperRepository,getHelperConstructor,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelperRepository,getProjectHelperForBuildFile,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,ProjectHelperRepository,getProjectHelperForAntlib,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,evaluate,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,setPropertyHook,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,setProperty,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,parsePropertyStringDefault,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,parsePropertyStringDefault,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,parsePropertyStringDefault,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,parsePropertyStringDefault,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,parsePropertyStringDefault,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,PropertyHelper,toBoolean,Complex Conditional
ant-rel-1.10.5,org.apache.tools.ant,RuntimeConfigurable,isEnabled,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,RuntimeConfigurable,maybeConfigure,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,RuntimeConfigurable,applyPreSet,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,Target,parseDepends,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Target,parseDepends,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,Target,addDependency,Magic Number
ant-rel-1.10.5,org.apache.tools.ant,TaskAdapter,checkTaskClass,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,TaskAdapter,execute,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,TaskAdapter,execute,Empty catch clause
ant-rel-1.10.5,org.apache.tools.ant,UnknownElement,handleChildren,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,UnknownElement,handleChildren,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,UnknownElement,makeObject,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,UnknownElement,handleChild,Long Parameter List
ant-rel-1.10.5,org.apache.tools.ant,UnknownElement,similar,Complex Method
ant-rel-1.10.5,org.apache.tools.ant,XmlLogger,buildFinished,Long Statement
ant-rel-1.10.5,org.apache.tools.ant,XmlLogger,getProperty,Complex Conditional
