Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,0
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,0
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,0
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,2
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalAnswers,AdditionalAnswers,3,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,1
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
main,org.mockito,AdditionalMatchers,AdditionalMatchers,4,1,2
