Project Name,Package Name,Type Name,Code Smell
main,org.mockito,AdditionalAnswers,Unutilized Abstraction
main,org.mockito,AdditionalMatchers,Insufficient Modularization
main,org.mockito,ArgumentMatchers,Insufficient Modularization
main,org.mockito,BDDMockito,Unutilized Abstraction
main,org.mockito,BDDMockito,Broken Hierarchy
main,org.mockito,BDDMockito,Insufficient Modularization
main,org.mockito,BDDMyOngoingStubbing,Unutilized Abstraction
main,org.mockito,BDDOngoingStubbingImpl,Unutilized Abstraction
main,org.mockito,Then,Unutilized Abstraction
main,org.mockito,ThenImpl,Unutilized Abstraction
main,org.mockito,BDDStubber,Unutilized Abstraction
main,org.mockito,BDDStubberImpl,Unutilized Abstraction
main,org.mockito,Matchers,Unnecessary Abstraction
main,org.mockito,Matchers,Unutilized Abstraction
main,org.mockito,Mockito,Deficient Encapsulation
main,org.mockito,Mockito,Broken Hierarchy
main,org.mockito,Mockito,Cyclic-Dependent Modularization
main,org.mockito,Mockito,Insufficient Modularization
main,org.mockito,MockitoDebugger,Unutilized Abstraction
main,org.mockito,MockitoFramework,Unutilized Abstraction
main,org.mockito.configuration,AnnotationEngine,Unnecessary Abstraction
main,org.mockito.configuration,AnnotationEngine,Unutilized Abstraction
main,org.mockito.configuration,DefaultMockitoConfiguration,Unutilized Abstraction
main,org.mockito.creation.instance,InstantiationException,Unutilized Abstraction
main,org.mockito.exceptions.base,MockitoException,Unutilized Abstraction
main,org.mockito.exceptions.base,MockitoInitializationException,Unutilized Abstraction
main,org.mockito.exceptions.base,MockitoSerializationIssue,Unutilized Abstraction
main,org.mockito.exceptions.misusing,CannotStubVoidMethodWithReturnValue,Unutilized Abstraction
main,org.mockito.exceptions.misusing,CannotVerifyStubOnlyMock,Unutilized Abstraction
main,org.mockito.exceptions.misusing,FriendlyReminderException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,InjectMocksException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,InvalidUseOfMatchersException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,MissingMethodInvocationException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,MockitoConfigurationException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,NotAMockException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,NullInsteadOfMockException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,PotentialStubbingProblem,Unutilized Abstraction
main,org.mockito.exceptions.misusing,RedundantListenerException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,UnfinishedMockingSessionException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,UnfinishedStubbingException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,UnfinishedVerificationException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,UnnecessaryStubbingException,Unutilized Abstraction
main,org.mockito.exceptions.misusing,WrongTypeOfReturnValue,Unutilized Abstraction
main,org.mockito.exceptions.verification,ArgumentsAreDifferent,Unutilized Abstraction
main,org.mockito.exceptions.verification,MoreThanAllowedActualInvocations,Unutilized Abstraction
main,org.mockito.exceptions.verification,NeverWantedButInvoked,Unutilized Abstraction
main,org.mockito.exceptions.verification,NoInteractionsWanted,Unutilized Abstraction
main,org.mockito.exceptions.verification,SmartNullPointerException,Unutilized Abstraction
main,org.mockito.exceptions.verification,TooLittleActualInvocations,Unutilized Abstraction
main,org.mockito.exceptions.verification,TooManyActualInvocations,Unutilized Abstraction
main,org.mockito.exceptions.verification,VerificationInOrderFailure,Unutilized Abstraction
main,org.mockito.exceptions.verification,WantedButNotInvoked,Unutilized Abstraction
main,org.mockito.exceptions.verification.junit,ArgumentsAreDifferent,Unutilized Abstraction
main,org.mockito.hamcrest,MockitoHamcrest,Unutilized Abstraction
main,org.mockito.internal.configuration,CaptorAnnotationProcessor,Unutilized Abstraction
main,org.mockito.internal.configuration,ClassPathLoader,Unutilized Abstraction
main,org.mockito.internal.configuration,ClassPathLoader,Deficient Encapsulation
main,org.mockito.internal.configuration,DefaultInjectionEngine,Unutilized Abstraction
main,org.mockito.internal.configuration,IndependentAnnotationEngine,Unutilized Abstraction
main,org.mockito.internal.configuration,InjectingAnnotationEngine,Unutilized Abstraction
main,org.mockito.internal.configuration.injection,ConstructorInjection,Unutilized Abstraction
main,org.mockito.internal.configuration.injection,OngoingMockInjection,Unutilized Abstraction
main,org.mockito.internal.configuration.injection,PropertyAndSetterInjection,Unutilized Abstraction
main,org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,Unutilized Abstraction
main,org.mockito.internal.configuration.injection.filter,NameBasedCandidateFilter,Unutilized Abstraction
main,org.mockito.internal.configuration.injection.filter,TerminalMockCandidateFilter,Unutilized Abstraction
main,org.mockito.internal.configuration.injection.filter,TypeBasedCandidateFilter,Unutilized Abstraction
main,org.mockito.internal.configuration.injection.scanner,InjectMocksScanner,Unutilized Abstraction
main,org.mockito.internal.configuration.injection.scanner,MockScanner,Unutilized Abstraction
main,org.mockito.internal.configuration.plugins,DefaultPluginSwitch,Unutilized Abstraction
main,org.mockito.internal.configuration.plugins,PluginFinder,Unutilized Abstraction
main,org.mockito.internal.configuration.plugins,PluginLoader,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,CrossClassLoaderSerializationProxy,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,MockitoMockObjectInputStream,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,MockitoMockObjectOutputStream,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ByteBuddyMockMaker,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,InlineByteBuddyMockMaker,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ParameterWritingVisitorWrapper,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ParameterAddingClassVisitor,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,MethodParameterStrippingMethodVisitor,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,MockAccess,Cyclic-Dependent Modularization
main,org.mockito.internal.creation.bytebuddy,RealMethodCall,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,SerializableRealMethodCall,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ReturnValueWrapper,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ForHashCode,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ForEquals,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ForReadObject,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,MockMethodInterceptor,Cyclic-Dependent Modularization
main,org.mockito.internal.creation.bytebuddy,ForHashCode,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ForEquals,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ForWriteReplace,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,DispatcherDefaultingToRealMethod,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,ModuleSystemFound,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,NoModuleSystemFound,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,WithReflection,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,WithLookup,Unutilized Abstraction
main,org.mockito.internal.creation.bytebuddy,TypeCachingBytecodeGenerator,Unutilized Abstraction
main,org.mockito.internal.creation,MockSettingsImpl,Cyclic-Dependent Modularization
main,org.mockito.internal.creation,MockSettingsImpl,Insufficient Modularization
main,org.mockito.internal.creation.instance,DefaultInstantiatorProvider,Unutilized Abstraction
main,org.mockito.internal.creation.instance,InstantiationException,Unutilized Abstraction
main,org.mockito.internal.creation.instance,InstantiatorProvider2Adapter,Unutilized Abstraction
main,org.mockito.internal.creation.instance,InstantiatorProviderAdapter,Unutilized Abstraction
main,org.mockito.internal.creation.instance,ObjenesisInstantiator,Unutilized Abstraction
main,org.mockito.internal.creation.settings,CreationSettings,Insufficient Modularization
main,org.mockito.internal.creation.util,MockitoMethodProxy,Unutilized Abstraction
main,org.mockito.internal.debugging,InvocationsPrinter,Unutilized Abstraction
main,org.mockito.internal.debugging,LocationImpl,Unutilized Abstraction
main,org.mockito.internal.debugging,MockitoDebuggerImpl,Unutilized Abstraction
main,org.mockito.internal.debugging,VerboseMockInvocationLogger,Unutilized Abstraction
main,org.mockito.internal.debugging,WarningsPrinterImpl,Unutilized Abstraction
main,org.mockito.internal.exceptions,Reporter,Cyclic-Dependent Modularization
main,org.mockito.internal.exceptions,Reporter,Insufficient Modularization
main,org.mockito.internal.exceptions,VerificationAwareInvocation,Unutilized Abstraction
main,org.mockito.internal.exceptions.stacktrace,DefaultStackTraceCleanerProvider,Unutilized Abstraction
main,org.mockito.internal.framework,DefaultMockitoFramework,Unutilized Abstraction
