Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree
File,"AllJUnitTests.java",,15,,2,,
File,"Ant.java",,78,,16,,
File,"AntStructure.java",,42,,5,,
File,"Available.java",,55,,14,,
File,"BuildEvent.java",,53,,11,,
File,"BuildException.java",,39,,10,,
File,"BuildListener.java",,11,,0,,
File,"Chmod.java",,48,,12,,
File,"CompileTask.java",,27,,5,,
File,"Copydir.java",,53,,9,,
File,"Copyfile.java",,29,,6,,
File,"Cvs.java",,64,,20,,
File,"DDCreator.java",,44,,8,,
File,"DDCreatorHelper.java",,50,,8,,
File,"DefaultLogger.java",,67,,17,,
File,"Delete.java",,58,,16,,
File,"Deltree.java",,43,,11,,
File,"DesirableFilter.java",,24,,6,,
File,"DirectoryScanner.java",,393,,103,,
File,"Echo.java",,13,,2,,
File,"EjbJar.java",,290,,41,,
File,"Ejbc.java",,61,,11,,
File,"EjbcHelper.java",,125,,18,,
File,"EnumeratedAttribute.java",,27,,8,,
File,"EnumeratedAttributeTest.java",,54,,11,,
File,"Exec.java",,136,,31,,
File,"Expand.java",,65,,12,,
File,"Filter.java",,15,,3,,
File,"FixCRLF.java",,188,,58,,
File,"GUnzip.java",,68,,16,,
File,"GZip.java",,56,,10,,
File,"Get.java",,62,,15,,
File,"IntrospectionHelper.java",,320,,67,,
File,"IntrospectionHelperTest.java",,128,,20,,
File,"Jar.java",,42,,9,,
File,"Java.java",,115,,28,,
File,"Javac.java",,154,,36,,
File,"JavacOutputStream.java",,33,,7,,
File,"Javadoc.java",,759,,205,,
File,"Jikes.java",,24,,3,,
File,"JikesOutputParser.java",,56,,17,,
File,"KeySubst.java",,101,,16,,
File,"Location.java",,30,,6,,
File,"MSVSS.java",,56,,9,,
File,"MSVSSGET.java",,105,,24,,
File,"MailMessage.java",,215,,54,,
File,"Main.java",,202,,39,,
File,"Map.java",,5,,0,,
File,"MatchingTask.java",,144,,42,,
File,"Mkdir.java",,21,,4,,
File,"NetRexxC.java",,188,,43,,
File,"Patch.java",,70,,18,,
File,"Path.java",,91,,25,,
File,"PathTest.java",,128,,13,,
File,"PathTokenizer.java",,40,,7,,
File,"Project.java",,60,,5,,
File,"ProjectHelper.java",,322,,78,,
File,"Property.java",,150,,36,,
File,"Rename.java",,30,,7,,
File,"RenameExtensions.java",,61,,14,,
File,"Replace.java",,78,,18,,
File,"Rmic.java",,245,,62,,
File,"Script.java",,61,,13,,
File,"SignJar.java",,116,,25,,
File,"Tar.java",,66,,11,,
File,"TarBuffer.java",,223,,56,,
File,"TarConstants.java",,25,,0,,
File,"TarEntry.java",,244,,46,,
File,"TarInputStream.java",,197,,41,,
File,"TarOutputStream.java",,121,,24,,
