Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
wildfly-12.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,ApplicationClientComponentDescription,4,1,3
wildfly-12.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,ApplicationClientComponentDescription,3,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,ApplicationClientComponentDescription,17,1,3
wildfly-12.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,ApplicationClientComponentDescription,10,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,ApplicationClientComponentDescription,2,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,ApplicationClientComponentDescription,3,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ActiveApplicationClientProcessor,ActiveApplicationClientProcessor,3,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ActiveApplicationClientProcessor,ActiveApplicationClientProcessor,31,9,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ActiveApplicationClientProcessor,ActiveApplicationClientProcessor,2,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,AppClientAttachments,AppClientAttachments,2,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,AppClientJBossAllParser,AppClientJBossAllParser,3,1,2
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,ApplicationClientDependencyProcessor,2,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,ApplicationClientDependencyProcessor,23,5,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,ApplicationClientDependencyProcessor,2,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientManifestProcessor,ApplicationClientManifestProcessor,33,6,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientManifestProcessor,ApplicationClientManifestProcessor,2,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,ApplicationClientParsingDeploymentProcessor,30,6,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,ApplicationClientParsingDeploymentProcessor,2,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,ApplicationClientParsingDeploymentProcessor,37,4,2
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,ApplicationClientParsingDeploymentProcessor,30,3,2
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,ApplicationClientParsingDeploymentProcessor,6,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStartProcessor,ApplicationClientStartProcessor,3,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStartProcessor,ApplicationClientStartProcessor,49,7,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStartProcessor,ApplicationClientStartProcessor,2,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStructureProcessor,ApplicationClientStructureProcessor,3,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStructureProcessor,ApplicationClientStructureProcessor,38,7,1
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStructureProcessor,ApplicationClientStructureProcessor,8,1,2
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStructureProcessor,ApplicationClientStructureProcessor,2,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,2
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,2
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,2
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,4
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,AppClientLogger,0,1,1
