Project Name,Package Name,Type Name,Method Name,Code Smell
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,initializeLegacyModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,getResolver,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,readElement,Missing default
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,parseKeyGenerators,Missing default
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,parseUuid,Missing default
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,parseHilo,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,parseHilo,Missing default
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,parseHilo,Complex Method
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,parseHilo,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,parseHilo,Missing default
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,parseUuid,Missing default
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CMPSubsystemRootResourceDefinition,CMPSubsystemRootResourceDefinition,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpTransformers,registerTransformers,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpTransformers,registerTransformers,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorResourceDefinition,HiLoKeyGeneratorResourceDefinition,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorResourceDefinition,UUIDKeyGeneratorResourceDefinition,Long Statement
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem10TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem10TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem10TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem10TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem10TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem10TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,testParseSubsystem,Magic Number
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminExtension,getResourceDescriptionResolver,Long Statement
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,readElement,Missing default
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,parseConfigurations,Long Statement
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,parseConfigurations,Missing default
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminRootResource,ConfigAdminRootResource,Long Statement
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationResource,ConfigurationResource,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORASContextDefinition,IORASContextDefinition,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSASContextDefinition,IORSASContextDefinition,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSettingsDefinition,IORSettingsDefinition,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSettingsParser,readElement,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORTransportConfigDefinition,IORTransportConfigDefinition,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,getResourceDescriptionResolver,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,initializeLegacyModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,registerTransformers,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,registerTransformers,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,registerTransformers,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,registerTransformers,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,registerTransformers,Magic Number
