Project Name,Package Name,Type Name,Code Smell
wildfly-8.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ActiveApplicationClientProcessor,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,AppClientAttachments,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,AppClientJBossAllParser,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientManifestProcessor,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStartProcessor,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.deployment,ForwardingEjbClientConfiguration,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.logging,AppClientMessages,Insufficient Modularization
wildfly-8.0.0.Final,org.jboss.as.appclient.service,ApplicationClientDeploymentService,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.service,DeploymentTask,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.service,ApplicationClientStartService,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.service,SetSelectorAction,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.service,DefaultApplicationClientCallbackHandler,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.service,DefaultApplicationClientCallbackHandler,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.service,LazyConnectionContextSelector,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.service,RealmCallbackWrapper,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,AppClientExtension,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,AppClientExtension,Cyclic-Dependent Modularization
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,ApplicationClientSubsystemParser,Cyclic-Dependent Modularization
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemAdd,Cyclic-Dependent Modularization
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemResourceDefinition,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemResourceDefinition,Cyclic-Dependent Modularization
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,Constants,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,Constants,Broken Modularization
wildfly-8.0.0.Final,org.jboss.as.appclient.subsystem,ParsedOptions,Unnecessary Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,Authentication,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,CallbackHandler,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,CommonContainerConfiguration,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,CommonContainerExtension,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,CommonDeployableContainer,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,ContainerResourceProvider,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,DistributionContainerConfiguration,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,ManagementClient,Insufficient Modularization
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,UnSuccessfulOperationException,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,MBeanConnectionProxy,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,MBeanConnectionProxy,Insufficient Modularization
wildfly-8.0.0.Final,org.jboss.as.arquillian.container,MBeanProxy,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container.domain,Authentication,Deficient Encapsulation
wildfly-8.0.0.Final,org.jboss.as.arquillian.container.domain,CommonContainerExtension,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container.domain,CommonDomainContainerConfiguration,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container.domain,CommonDomainDeployableContainer,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container.domain,Domain,Insufficient Modularization
wildfly-8.0.0.Final,org.jboss.as.arquillian.container.domain,LazyHttpContext,Unutilized Abstraction
wildfly-8.0.0.Final,org.jboss.as.arquillian.container.domain,ManagementClient,Insufficient Modularization
wildfly-8.0.0.Final,org.jboss.as.arquillian.container.domain,UnSuccessfulOperationException,Unutilized Abstraction
