Project Name,Package Name,Type Name,Code Smell
main,com.oreilly.servlet,MailPrintStream,Unutilized Abstraction
main,org.apache.tools.ant,BuildEvent,Cyclic-Dependent Modularization
main,org.apache.tools.ant,BuildListener,Cyclic-Dependent Modularization
main,org.apache.tools.ant,DesirableFilter,Unutilized Abstraction
main,org.apache.tools.ant,DirectoryScanner,Insufficient Modularization
main,org.apache.tools.ant,IntrospectionHelper,Insufficient Modularization
main,org.apache.tools.ant,Location,Deficient Encapsulation
main,org.apache.tools.ant,Map,Unutilized Abstraction
main,org.apache.tools.ant,Path,Deficient Encapsulation
main,org.apache.tools.ant,Project,Deficient Encapsulation
main,org.apache.tools.ant,Project,Cyclic-Dependent Modularization
main,org.apache.tools.ant,Project,Insufficient Modularization
main,org.apache.tools.ant,ProjectHelper,Insufficient Modularization
main,org.apache.tools.ant,AbstractHandler,Unutilized Abstraction
main,org.apache.tools.ant,RootHandler,Unutilized Abstraction
main,org.apache.tools.ant,ProjectHandler,Unutilized Abstraction
main,org.apache.tools.ant,TargetHandler,Unutilized Abstraction
main,org.apache.tools.ant,TaskHandler,Unutilized Abstraction
main,org.apache.tools.ant,NestedElementHandler,Unutilized Abstraction
main,org.apache.tools.ant,Target,Cyclic-Dependent Modularization
main,org.apache.tools.ant,Task,Wide Hierarchy
main,org.apache.tools.ant,Task,Cyclic-Dependent Modularization
main,org.apache.tools.ant,TaskAdapter,Cyclic-Dependent Modularization
main,org.apache.tools.ant.taskdefs,Ant,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,AntStructure,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Available,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Chmod,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Chmod,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,CompileTask,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Copydir,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Copydir,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,Copyfile,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Cvs,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Delete,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Delete,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,Deltree,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Echo,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,StreamPumper,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Expand,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Filter,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,FixCRLF,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,FixCRLF,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,Get,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,GUnzip,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,GZip,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Jar,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Jar,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,Javac,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Javac,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,JarFilenameFilter,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,JavacOutputStream,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Javadoc,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Javadoc,Insufficient Modularization
main,org.apache.tools.ant.taskdefs,JavaReader,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,MatchingTask,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,MatchingTask,Wide Hierarchy
main,org.apache.tools.ant.taskdefs,Mkdir,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Patch,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Rename,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Replace,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Replace,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,Rmic,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Rmic,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,SignJar,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Tar,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Tar,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,TaskOutputStream,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Tstamp,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Untar,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,XSLTProcess,Broken Hierarchy
main,org.apache.tools.ant.taskdefs,Zip,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs,Zip,Broken Hierarchy
main,org.apache.tools.ant.taskdefs.optional.ejb,DDCreator,Unutilized Abstraction
main,org.apache.tools.ant.taskdefs.optional.ejb,DDCreator,Broken Hierarchy
