Project Name,Package Name,Type Name,Method Name,Code Smell
main,com.oreilly.servlet,MailMessage,sanitizeAddress,Complex Method
main,com.oreilly.servlet,MailMessage,connect,Magic Number
main,org.apache.tools.ant,DefaultLogger,formatTime,Magic Number
main,org.apache.tools.ant,DefaultLogger,formatTime,Magic Number
main,org.apache.tools.ant,DefaultLogger,formatTime,Magic Number
main,org.apache.tools.ant,DirectoryScanner,matchPath,Complex Method
main,org.apache.tools.ant,DirectoryScanner,matchPath,Long Method
main,org.apache.tools.ant,DirectoryScanner,match,Complex Method
main,org.apache.tools.ant,DirectoryScanner,scandir,Complex Method
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Method
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Empty catch clause
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
main,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Complex Method
main,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Empty catch clause
main,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Method
main,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
main,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
main,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
main,org.apache.tools.ant,Main,Main,Complex Conditional
main,org.apache.tools.ant,Main,Main,Complex Conditional
main,org.apache.tools.ant,Main,Main,Complex Conditional
main,org.apache.tools.ant,Main,Main,Complex Conditional
main,org.apache.tools.ant,Main,Main,Complex Method
main,org.apache.tools.ant,Main,Main,Magic Number
main,org.apache.tools.ant,Main,runBuild,Long Statement
main,org.apache.tools.ant,Main,runBuild,Long Statement
main,org.apache.tools.ant,Main,runBuild,Long Statement
main,org.apache.tools.ant,PathTokenizer,nextToken,Complex Conditional
main,org.apache.tools.ant,Project,init,Empty catch clause
main,org.apache.tools.ant,Project,init,Empty catch clause
main,org.apache.tools.ant,Project,detectJavaVersion,Empty catch clause
main,org.apache.tools.ant,Project,createTask,Long Statement
main,org.apache.tools.ant,Project,resolveFile,Complex Conditional
main,org.apache.tools.ant,Project,resolveFile,Complex Conditional
main,org.apache.tools.ant,Project,resolveFile,Complex Conditional
main,org.apache.tools.ant,Project,resolveFile,Complex Method
main,org.apache.tools.ant,Project,resolveFile,Magic Number
main,org.apache.tools.ant,Project,translatePath,Magic Number
main,org.apache.tools.ant,Project,copyFile,Magic Number
main,org.apache.tools.ant,Project,copyFile,Magic Number
main,org.apache.tools.ant,Project,tsort,Long Parameter List
main,org.apache.tools.ant,ProjectHelper,init,Complex Method
main,org.apache.tools.ant,ProjectHelper,init,Complex Method
main,org.apache.tools.ant,ProjectHelper,replaceProperties,Magic Number
main,org.apache.tools.ant,ProjectHelper,replaceProperties,Magic Number
main,org.apache.tools.ant,ProjectHandler,init,Complex Method
main,org.apache.tools.ant,TargetHandler,init,Complex Method
main,org.apache.tools.ant,XmlLogger,messageLogged,Missing default
main,org.apache.tools.ant,XmlLogger,write,Complex Method
main,org.apache.tools.ant,XmlLogger,formatTime,Magic Number
main,org.apache.tools.ant,XmlLogger,formatTime,Magic Number
main,org.apache.tools.ant,XmlLogger,formatTime,Magic Number
main,org.apache.tools.ant.taskdefs,Delete,execute,Complex Method
main,org.apache.tools.ant.taskdefs,Exec,run,Complex Method
main,org.apache.tools.ant.taskdefs,Exec,run,Empty catch clause
main,org.apache.tools.ant.taskdefs,Exec,run,Empty catch clause
main,org.apache.tools.ant.taskdefs,Exec,run,Empty catch clause
main,org.apache.tools.ant.taskdefs,StreamPumper,run,Empty catch clause
main,org.apache.tools.ant.taskdefs,StreamPumper,run,Empty catch clause
main,org.apache.tools.ant.taskdefs,Expand,execute,Empty catch clause
main,org.apache.tools.ant.taskdefs,Expand,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,setTablength,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Complex Conditional
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Complex Method
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Long Method
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Long Statement
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
main,org.apache.tools.ant.taskdefs,FixCRLF,execute,Missing default
main,org.apache.tools.ant.taskdefs,Get,execute,Complex Method
main,org.apache.tools.ant.taskdefs,Get,execute,Magic Number
main,org.apache.tools.ant.taskdefs,Get,execute,Magic Number
main,org.apache.tools.ant.taskdefs,Get,execute,Magic Number
main,org.apache.tools.ant.taskdefs,GUnzip,execute,Complex Method
main,org.apache.tools.ant.taskdefs,GUnzip,execute,Empty catch clause
main,org.apache.tools.ant.taskdefs,GUnzip,execute,Empty catch clause
main,org.apache.tools.ant.taskdefs,GUnzip,execute,Magic Number
main,org.apache.tools.ant.taskdefs,GUnzip,execute,Magic Number
main,org.apache.tools.ant.taskdefs,GUnzip,execute,Magic Number
main,org.apache.tools.ant.taskdefs,GUnzip,execute,Magic Number
main,org.apache.tools.ant.taskdefs,GUnzip,execute,Magic Number
main,org.apache.tools.ant.taskdefs,GZip,execute,Empty catch clause
main,org.apache.tools.ant.taskdefs,GZip,zipFile,Magic Number
main,org.apache.tools.ant.taskdefs,GZip,zipFile,Magic Number
main,org.apache.tools.ant.taskdefs,Javac,execute,Complex Method
main,org.apache.tools.ant.taskdefs,Javac,execute,Long Statement
main,org.apache.tools.ant.taskdefs,Javac,getCompileClasspath,Long Statement
main,org.apache.tools.ant.taskdefs,Javac,getCompileClasspath,Long Statement
main,org.apache.tools.ant.taskdefs,Javac,getCompileClasspath,Long Statement
main,org.apache.tools.ant.taskdefs,Javac,doClassicCompile,Complex Method
main,org.apache.tools.ant.taskdefs,Javac,doModernCompile,Complex Method
main,org.apache.tools.ant.taskdefs,Javac,doJikesCompile,Complex Conditional
main,org.apache.tools.ant.taskdefs,Javac,doJikesCompile,Complex Conditional
main,org.apache.tools.ant.taskdefs,Javac,doJikesCompile,Complex Method
main,org.apache.tools.ant.taskdefs,Javac,doJikesCompile,Long Statement
main,org.apache.tools.ant.taskdefs,Javadoc,execute,Complex Method
main,org.apache.tools.ant.taskdefs,Javadoc,execute,Long Method
main,org.apache.tools.ant.taskdefs,Javadoc,execute,Long Statement
main,org.apache.tools.ant.taskdefs,Javadoc,matches,Magic Number
main,org.apache.tools.ant.taskdefs,Javadoc,getPackageName,Magic Number
main,org.apache.tools.ant.taskdefs,Javadoc,read,Complex Method
main,org.apache.tools.ant.taskdefs,JavaReader,read,Complex Method
main,org.apache.tools.ant.taskdefs,KeySubst,replace,Magic Number
main,org.apache.tools.ant.taskdefs,KeySubst,replace,Magic Number
main,org.apache.tools.ant.taskdefs,KeySubst,replace,Magic Number
main,org.apache.tools.ant.taskdefs,MatchingTask,setItems,Complex Conditional
main,org.apache.tools.ant.taskdefs,Patch,execute,Complex Method
main,org.apache.tools.ant.taskdefs,Property,resolveAllProperties,Complex Method
main,org.apache.tools.ant.taskdefs,Property,extractProperties,Magic Number
main,org.apache.tools.ant.taskdefs,Property,extractProperties,Magic Number
main,org.apache.tools.ant.taskdefs,Rmic,execute,Complex Method
main,org.apache.tools.ant.taskdefs,Rmic,execute,Magic Number
main,org.apache.tools.ant.taskdefs,Rmic,scanDir,Complex Conditional
main,org.apache.tools.ant.taskdefs,Rmic,shouldCompile,Long Statement
main,org.apache.tools.ant.taskdefs,Rmic,shouldCompile,Long Statement
main,org.apache.tools.ant.taskdefs,SignJar,execute,Complex Method
main,org.apache.tools.ant.taskdefs,Tar,execute,Empty catch clause
main,org.apache.tools.ant.taskdefs,Tar,tarFile,Magic Number
main,org.apache.tools.ant.taskdefs,Tar,tarFile,Magic Number
main,org.apache.tools.ant.taskdefs,Untar,execute,Complex Method
