Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,5,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,3,1,0
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,5,1,0
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,13,2,0
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,16,3,2
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,8,2,4
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,3,1,3
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,10,2,2
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,5,2,2
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,14,4,0
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,7,2,0
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,4,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,5,1,0
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,3,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,13,3,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,3,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,3,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,8,2,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,8,2,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,31,7,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,9,2,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,8,2,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,28,6,2
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,18,5,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,29,8,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,3,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,38,6,2
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,33,5,2
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,3,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,37,6,2
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,4,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,32,4,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,8,2,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,11,2,0
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,2,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,5,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,2,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,2,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,2,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,2,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,2,1,1
main,org.apache.tools.ant,AntClassLoader,AntClassLoader,8,2,0
main,org.apache.tools.ant,ResourceEnumeration,ResourceEnumeration,5,1,1
main,org.apache.tools.ant,ResourceEnumeration,ResourceEnumeration,3,1,0
main,org.apache.tools.ant,ResourceEnumeration,ResourceEnumeration,5,1,0
main,org.apache.tools.ant,ResourceEnumeration,ResourceEnumeration,13,2,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,6,1,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,6,1,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,6,1,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,4,1,2
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,1
main,org.apache.tools.ant,BuildException,BuildException,4,1,2
main,org.apache.tools.ant,BuildException,BuildException,4,1,3
main,org.apache.tools.ant,BuildException,BuildException,4,1,1
main,org.apache.tools.ant,BuildException,BuildException,4,1,2
main,org.apache.tools.ant,BuildException,BuildException,4,1,2
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,1
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,9,2,1
main,org.apache.tools.ant,BuildException,BuildException,9,2,1
main,org.apache.tools.ant,BuildListener,BuildListener,0,1,1
main,org.apache.tools.ant,BuildListener,BuildListener,0,1,1
main,org.apache.tools.ant,BuildListener,BuildListener,0,1,1
main,org.apache.tools.ant,BuildListener,BuildListener,0,1,1
main,org.apache.tools.ant,BuildListener,BuildListener,0,1,1
main,org.apache.tools.ant,BuildListener,BuildListener,0,1,1
main,org.apache.tools.ant,BuildListener,BuildListener,0,1,1
main,org.apache.tools.ant,BuildLogger,BuildLogger,0,1,1
main,org.apache.tools.ant,BuildLogger,BuildLogger,0,1,1
main,org.apache.tools.ant,BuildLogger,BuildLogger,0,1,1
main,org.apache.tools.ant,BuildLogger,BuildLogger,0,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,2,1,0
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,3,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,3,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,3,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,3,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,3,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,35,5,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,7,2,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,2,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,2,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,2,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,44,7,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,3,1,1
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,3,1,3
main,org.apache.tools.ant,DefaultLogger,DefaultLogger,2,1,1
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,4,1,2
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,11,2,0
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,11,1,0
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,4,1,0
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,16,4,1
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,5,1,1
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,5,1,1
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,4,1,0
main,org.apache.tools.ant,DemuxOutputStream,DemuxOutputStream,6,2,0
main,org.apache.tools.ant,Diagnostics,Diagnostics,2,1,0
main,org.apache.tools.ant,Diagnostics,Diagnostics,9,1,0
main,org.apache.tools.ant,Diagnostics,Diagnostics,12,2,0
main,org.apache.tools.ant,Diagnostics,Diagnostics,22,4,0
main,org.apache.tools.ant,Diagnostics,Diagnostics,3,1,2
main,org.apache.tools.ant,Diagnostics,Diagnostics,3,1,1
main,org.apache.tools.ant,Diagnostics,Diagnostics,15,2,1
main,org.apache.tools.ant,Diagnostics,Diagnostics,38,1,1
main,org.apache.tools.ant,Diagnostics,Diagnostics,6,2,1
main,org.apache.tools.ant,Diagnostics,Diagnostics,11,3,1
main,org.apache.tools.ant,Diagnostics,Diagnostics,22,2,1
main,org.apache.tools.ant,Diagnostics,Diagnostics,36,4,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,2,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,2
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,3
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,2
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,3
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,2
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,3
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,16,4,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,16,4,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,3,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,43,9,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,20,6,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,94,20,3
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,8,3,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,8,3,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,8,3,1
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,10,4,2
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,5,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,6,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,6,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,6,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,5,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,6,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,6,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,6,1,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,12,3,0
main,org.apache.tools.ant,DirectoryScanner,DirectoryScanner,4,1,1
main,org.apache.tools.ant,DynamicConfigurator,DynamicConfigurator,0,1,2
main,org.apache.tools.ant,DynamicConfigurator,DynamicConfigurator,0,1,1
main,org.apache.tools.ant,ExitException,ExitException,4,1,1
main,org.apache.tools.ant,ExitException,ExitException,3,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,0
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,1
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,1
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,1
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,1
main,org.apache.tools.ant,FileScanner,FileScanner,0,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,88,12,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,4,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,2
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,5,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,9,3,2
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,8,2,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,27,4,4
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,24,4,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,37,7,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,25,4,4
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,8,2,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,8,2,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,0
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,0
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,0
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,97,10,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,6,2,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,8,1,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,10,1,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,12,2,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,3,1,2
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,4,1,2
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,0,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,0,1,2
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,0,1,3
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,8,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,2,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,2,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,2,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,2,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,2,1,1
main,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,2,1,1
main,org.apache.tools.ant,NestedCreator,NestedCreator,0,1,1
main,org.apache.tools.ant,NestedStorer,NestedStorer,0,1,2
main,org.apache.tools.ant,AttributeSetter,AttributeSetter,0,1,3
main,org.apache.tools.ant,Location,Location,3,1,0
main,org.apache.tools.ant,Location,Location,3,1,1
main,org.apache.tools.ant,Location,Location,5,1,3
main,org.apache.tools.ant,Location,Location,12,3,0
main,org.apache.tools.ant,Main,Main,6,2,1
main,org.apache.tools.ant,Main,Main,51,7,3
main,org.apache.tools.ant,Main,Main,3,1,1
main,org.apache.tools.ant,Main,Main,196,34,1
main,org.apache.tools.ant,Main,Main,9,2,1
main,org.apache.tools.ant,Main,Main,15,4,2
main,org.apache.tools.ant,Main,Main,64,9,1
main,org.apache.tools.ant,Main,Main,13,2,1
main,org.apache.tools.ant,Main,Main,20,2,1
main,org.apache.tools.ant,Main,Main,24,2,0
main,org.apache.tools.ant,Main,Main,29,1,0
main,org.apache.tools.ant,Main,Main,3,1,0
main,org.apache.tools.ant,Main,Main,23,2,0
