Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
main,org.apache.tools.ant,AntClassLoader,16,0,42,27,745,100,0,1,0.21428571428571427,17,5
main,org.apache.tools.ant,ResourceEnumeration,3,0,4,2,61,5,0,0,0.0,0,0
main,org.apache.tools.ant,BuildEvent,6,0,11,11,127,11,0,0,0.2727272727272727,19,3
main,org.apache.tools.ant,BuildException,2,0,15,15,139,17,1,0,0.2,3,1
main,org.apache.tools.ant,BuildListener,0,0,7,0,50,7,10,0,-1.0,4,1
main,org.apache.tools.ant,BuildLogger,0,0,4,0,26,4,3,1,-1.0,1,0
main,org.apache.tools.ant,DefaultLogger,7,1,15,12,215,26,3,2,0.3333333333333333,4,5
main,org.apache.tools.ant,DemuxOutputStream,6,0,9,4,141,14,0,0,0.0,0,2
main,org.apache.tools.ant,BufferInfo,2,0,0,0,13,0,0,0,-1.0,1,0
main,org.apache.tools.ant,Diagnostics,0,0,12,6,227,24,0,0,-1.0,2,2
main,org.apache.tools.ant,DirectoryScanner,18,0,33,22,573,82,4,1,0.15151515151515152,53,3
main,org.apache.tools.ant,DynamicConfigurator,0,0,2,2,21,2,0,0,-1.0,1,0
main,org.apache.tools.ant,ExitException,1,0,2,2,26,2,0,0,0.0,0,0
main,org.apache.tools.ant,FileScanner,0,0,14,0,74,14,1,0,-1.0,3,0
main,org.apache.tools.ant,IntrospectionHelper,9,0,37,29,546,79,0,1,0.5945945945945946,6,8
main,org.apache.tools.ant,NestedCreator,0,0,1,0,6,1,0,0,-1.0,1,0
main,org.apache.tools.ant,NestedStorer,0,0,1,0,6,1,0,0,-1.0,1,0
main,org.apache.tools.ant,AttributeSetter,0,0,1,0,6,1,0,0,-1.0,1,1
main,org.apache.tools.ant,Location,4,1,4,3,61,6,0,0,0.5,8,1
main,org.apache.tools.ant,Main,16,1,17,3,679,85,0,0,0.0,2,9
main,org.apache.tools.ant,NoBannerLogger,1,0,4,4,43,6,0,3,0.5,0,2
main,org.apache.tools.ant,PathTokenizer,4,0,3,3,98,15,0,0,0.0,3,0
main,org.apache.tools.ant,Project,34,12,91,78,1351,164,0,0,0.10989010989010989,246,13
main,org.apache.tools.ant,ProjectComponent,1,0,5,5,46,6,10,0,0.4,1,1
main,org.apache.tools.ant,ProjectHelper,2,2,13,12,283,39,1,0,0.46153846153846156,12,4
main,org.apache.tools.ant,RuntimeConfigurable,6,0,12,9,135,15,0,0,0.0,8,3
main,org.apache.tools.ant,Target,7,0,22,18,231,31,0,1,0.18181818181818182,12,3
main,org.apache.tools.ant,Task,8,0,26,17,264,33,94,1,0.19230769230769232,36,7
main,org.apache.tools.ant,TaskAdapter,1,0,4,4,89,8,0,2,0.5,1,1
main,org.apache.tools.ant,TaskContainer,0,0,1,0,14,1,3,0,-1.0,2,1
main,org.apache.tools.ant,UnknownElement,3,0,15,7,204,31,0,2,0.0,4,4
main,org.apache.tools.ant,XmlLogger,20,0,15,12,347,43,0,2,0.3333333333333333,0,7
main,org.apache.tools.ant,TimedElement,2,0,0,0,13,0,0,0,-1.0,1,0
main,org.apache.tools.ant.filters,BaseFilterReader,2,0,10,5,129,19,4,0,0.8,0,2
main,org.apache.tools.ant.filters,BaseParamFilterReader,1,0,4,3,39,4,9,1,0.75,0,0
main,org.apache.tools.ant.filters,ChainableReader,0,0,1,1,12,1,12,0,-1.0,0,0
main,org.apache.tools.ant.filters,ClassConstants,2,0,4,4,93,10,0,1,1.0,2,1
main,org.apache.tools.ant.filters,ExpandProperties,1,0,4,4,64,8,0,1,1.0,2,2
main,org.apache.tools.ant.filters,HeadFilter,3,0,7,5,90,13,0,2,0.42857142857142855,2,1
main,org.apache.tools.ant.filters,LineContains,4,0,10,7,144,21,0,2,0.3,2,2
main,org.apache.tools.ant.filters,Contains,1,0,2,2,23,2,0,0,0.0,1,0
main,org.apache.tools.ant.filters,LineContainsRegExp,3,0,8,5,126,19,0,2,0.375,2,3
main,org.apache.tools.ant.filters,PrefixLines,3,0,7,5,106,16,0,2,0.42857142857142855,2,1
main,org.apache.tools.ant.filters,ReplaceTokens,11,0,17,11,266,38,0,2,0.29411764705882354,2,2
main,org.apache.tools.ant.filters,Token,2,0,4,4,41,4,0,0,0.5,1,0
main,org.apache.tools.ant.filters,StringInputStream,1,0,6,6,57,6,0,0,0.0,1,0
main,org.apache.tools.ant.filters,StripJavaComments,2,0,4,4,86,15,0,1,1.0,2,1
main,org.apache.tools.ant.filters,StripLineBreaks,3,0,7,5,97,14,0,2,0.42857142857142855,2,1
main,org.apache.tools.ant.filters,StripLineComments,4,0,10,7,144,21,0,2,0.4,2,2
main,org.apache.tools.ant.filters,Comment,1,0,2,2,23,2,0,0,0.0,1,0
main,org.apache.tools.ant.filters,TabsToSpaces,4,0,7,5,101,14,0,2,0.42857142857142855,2,1
main,org.apache.tools.ant.filters,TailFilter,7,0,7,5,140,20,0,2,0.42857142857142855,2,1
main,org.apache.tools.ant.filters.util,ChainReaderHelper,4,3,7,7,143,23,0,0,0.42857142857142855,3,6
main,org.apache.tools.ant.filters.util,JavaClassHelper,1,0,1,1,37,5,0,0,0.0,0,0
main,org.apache.tools.ant.helper,ProjectHelperImpl,22,0,36,28,775,89,0,1,0.05555555555555555,8,12
main,org.apache.tools.ant.helper,AbstractHandler,2,0,5,4,60,6,5,0,0.0,0,1
main,org.apache.tools.ant.helper,RootHandler,1,0,4,4,65,9,0,0,0.0,0,2
main,org.apache.tools.ant.helper,ProjectHandler,0,0,8,3,143,24,0,1,-1.0,0,1
main,org.apache.tools.ant.helper,TargetHandler,1,0,3,3,81,14,0,1,0.6666666666666666,0,2
main,org.apache.tools.ant.helper,TaskHandler,5,0,5,4,116,11,0,1,0.0,0,6
main,org.apache.tools.ant.helper,NestedElementHandler,5,0,4,4,114,9,0,1,0.0,0,6
main,org.apache.tools.ant.helper,DataTypeHandler,3,0,5,5,84,7,0,1,0.4,0,4
main,org.apache.tools.ant.input,DefaultInputHandler,0,0,4,2,48,5,0,1,-1.0,0,1
main,org.apache.tools.ant.input,InputHandler,0,0,1,0,12,1,2,0,-1.0,2,1
main,org.apache.tools.ant.input,InputRequest,2,0,5,5,43,6,1,0,0.6,4,0
main,org.apache.tools.ant.input,MultipleChoiceInputRequest,1,0,3,3,32,4,0,1,0.0,0,0
main,org.apache.tools.ant.input,PropertyFileInputHandler,2,1,3,2,51,7,0,1,0.6666666666666666,0,1
main,org.apache.tools.ant.listener,AnsiColorLogger,33,0,2,0,126,17,0,3,0.0,0,1
main,org.apache.tools.ant.listener,CommonsLoggingListener,2,0,8,8,132,25,0,1,0.0,0,4
main,org.apache.tools.ant.listener,Log4jListener,2,0,8,8,135,26,0,1,0.0,0,3
main,org.apache.tools.ant.listener,MailLogger,1,0,4,1,109,11,0,3,0.0,0,5
main,org.apache.tools.ant.taskdefs,AbstractCvsTask,21,1,40,31,497,81,2,2,0.05,1,8
main,org.apache.tools.ant.taskdefs,Ant,11,0,22,17,416,65,0,2,0.13636363636363635,2,6
main,org.apache.tools.ant.taskdefs,Reference,1,0,3,3,26,3,0,1,0.6666666666666666,2,0
main,org.apache.tools.ant.taskdefs,AntStructure,6,0,8,2,184,24,0,2,0.25,0,1
main,org.apache.tools.ant.taskdefs,Available,12,0,22,18,365,67,0,2,0.18181818181818182,1,7
main,org.apache.tools.ant.taskdefs,FileDir,1,0,3,3,26,3,0,1,1.0,1,0
main,org.apache.tools.ant.taskdefs,Basename,3,0,4,4,47,8,0,2,0.0,0,0
main,org.apache.tools.ant.taskdefs,BuildNumber,3,0,5,2,128,11,0,2,0.0,0,1
main,org.apache.tools.ant.taskdefs,BUnzip2,1,0,2,0,76,10,0,3,1.0,0,1
main,org.apache.tools.ant.taskdefs,BZip2,0,0,1,0,31,2,0,3,-1.0,0,1
main,org.apache.tools.ant.taskdefs,CallTarget,4,0,11,11,125,19,0,2,0.0,0,2
main,org.apache.tools.ant.taskdefs,Checksum,12,0,14,11,332,48,0,3,0.0,1,3
main,org.apache.tools.ant.taskdefs,Chmod,3,0,17,15,156,22,0,4,0.35294117647058826,0,6
main,org.apache.tools.ant.taskdefs,Concat,5,0,12,9,302,44,0,2,0.16666666666666666,0,6
main,org.apache.tools.ant.taskdefs,ConditionTask,2,0,3,3,48,7,0,2,0.0,0,2
main,org.apache.tools.ant.taskdefs,Copy,19,0,27,20,381,66,1,2,0.07407407407407407,0,10
main,org.apache.tools.ant.taskdefs,Copydir,6,0,7,6,65,14,0,3,0.2857142857142857,0,2
main,org.apache.tools.ant.taskdefs,Copyfile,4,0,5,5,48,10,0,2,0.0,0,1
main,org.apache.tools.ant.taskdefs,Cvs,0,0,1,1,16,1,0,3,-1.0,0,0
main,org.apache.tools.ant.taskdefs,CVSPass,4,0,6,5,104,14,0,2,0.0,0,2
main,org.apache.tools.ant.taskdefs,Definer,9,0,14,11,204,35,2,2,0.0,0,4
main,org.apache.tools.ant.taskdefs,Delete,8,0,36,34,422,69,0,3,0.0,0,18
main,org.apache.tools.ant.taskdefs,Deltree,1,0,3,2,59,11,0,2,0.0,0,0
main,org.apache.tools.ant.taskdefs,DependSet,4,0,6,6,158,33,0,3,0.3333333333333333,0,5
main,org.apache.tools.ant.taskdefs,Dirname,2,0,3,3,37,5,0,2,0.0,0,0
main,org.apache.tools.ant.taskdefs,Ear,2,0,7,4,76,11,0,5,0.5714285714285714,0,3
main,org.apache.tools.ant.taskdefs,Echo,4,0,7,7,94,13,0,2,0.2857142857142857,0,2
main,org.apache.tools.ant.taskdefs,EchoLevel,0,0,1,1,8,1,0,1,-1.0,1,0
main,org.apache.tools.ant.taskdefs,Exec,12,0,13,10,157,28,0,2,0.15384615384615385,2,2
main,org.apache.tools.ant.taskdefs,StreamPumper,5,0,3,3,39,6,0,0,0.0,1,1
main,org.apache.tools.ant.taskdefs,ExecTask,15,0,26,17,309,48,1,2,0.0,5,6
main,org.apache.tools.ant.taskdefs,Execute,19,1,39,29,630,83,0,0,0.1282051282051282,30,8
main,org.apache.tools.ant.taskdefs,CommandLauncher,0,0,2,2,30,4,3,0,-1.0,7,1
main,org.apache.tools.ant.taskdefs,Java11CommandLauncher,0,0,1,1,18,3,0,1,-1.0,0,2
main,org.apache.tools.ant.taskdefs,Java13CommandLauncher,1,0,2,2,36,5,0,1,0.0,0,1
main,org.apache.tools.ant.taskdefs,CommandLauncherProxy,1,0,2,1,15,2,5,1,0.0,0,2
main,org.apache.tools.ant.taskdefs,OS2CommandLauncher,0,0,2,1,34,4,0,2,-1.0,0,2
main,org.apache.tools.ant.taskdefs,WinNTCommandLauncher,0,0,2,1,32,4,0,2,-1.0,0,2
main,org.apache.tools.ant.taskdefs,MacCommandLauncher,0,0,2,1,23,3,0,2,-1.0,0,2
main,org.apache.tools.ant.taskdefs,ScriptCommandLauncher,1,0,2,1,35,6,0,2,0.0,0,2
main,org.apache.tools.ant.taskdefs,PerlScriptCommandLauncher,1,0,2,1,36,6,0,2,0.0,0,2
main,org.apache.tools.ant.taskdefs,ExecuteJava,8,0,9,9,152,19,0,1,0.2222222222222222,1,8
main,org.apache.tools.ant.taskdefs,ExecuteOn,11,0,16,10,278,46,2,3,0.125,0,10
main,org.apache.tools.ant.taskdefs,FileDirBoth,0,0,1,1,11,1,0,1,-1.0,1,0
main,org.apache.tools.ant.taskdefs,ExecuteStreamHandler,0,0,5,0,30,5,7,0,-1.0,10,0
main,org.apache.tools.ant.taskdefs,ExecuteWatchdog,5,0,9,8,123,13,0,1,0.2222222222222222,3,1
main,org.apache.tools.ant.taskdefs,Exit,3,0,7,5,62,12,0,2,0.0,0,0
main,org.apache.tools.ant.taskdefs,Expand,5,0,8,6,185,34,1,2,0.0,0,5
main,org.apache.tools.ant.taskdefs,Filter,3,0,5,4,51,8,0,2,0.0,0,1
main,org.apache.tools.ant.taskdefs,FixCRLF,43,0,45,39,698,117,0,3,0.17777777777777778,0,7
main,org.apache.tools.ant.taskdefs,OneLiner,12,0,27,26,177,41,0,0,0.1111111111111111,1,0
main,org.apache.tools.ant.taskdefs,BufferLine,5,0,19,19,67,19,0,0,0.21052631578947367,0,0
main,org.apache.tools.ant.taskdefs,AddAsisRemove,0,0,1,1,8,1,0,1,-1.0,1,0
main,org.apache.tools.ant.taskdefs,CrLf,0,0,1,1,11,1,0,1,-1.0,1,0
main,org.apache.tools.ant.taskdefs,GenerateKey,15,0,21,21,276,43,0,2,0.23809523809523808,0,6
main,org.apache.tools.ant.taskdefs,DnameParam,2,0,4,4,16,4,0,0,0.5,2,0
main,org.apache.tools.ant.taskdefs,DistinguishedName,1,0,4,4,43,8,0,0,0.0,1,1
main,org.apache.tools.ant.taskdefs,Get,8,1,10,10,243,38,0,2,0.3,1,3
main,org.apache.tools.ant.taskdefs,Base64Converter,1,1,2,2,51,5,0,0,1.0,0,0
main,org.apache.tools.ant.taskdefs,GUnzip,1,0,2,0,60,7,0,3,1.0,0,0
main,org.apache.tools.ant.taskdefs,GZip,0,0,1,0,30,2,0,3,-1.0,0,0
main,org.apache.tools.ant.taskdefs,Input,3,0,6,6,63,8,0,2,0.3333333333333333,0,2
main,org.apache.tools.ant.taskdefs,Jar,13,0,22,9,372,44,2,4,0.2727272727272727,0,6
main,org.apache.tools.ant.taskdefs,FilesetManifestConfig,0,0,1,1,5,1,0,1,-1.0,1,0
main,org.apache.tools.ant.taskdefs,Java,10,0,32,24,399,60,2,2,0.0,15,9
main,org.apache.tools.ant.taskdefs,Javac,27,0,73,66,621,103,0,3,0.273972602739726,4,11
