Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
main,org.mockito,AdditionalAnswers,0,0,17,17,197,17,0,0,-1.0,0,12
main,org.mockito,AdditionalMatchers,0,0,69,68,644,69,0,0,-1.0,2,2
main,org.mockito,ArgumentCaptor,2,0,5,4,44,5,0,0,0.0,1,2
main,org.mockito,ArgumentMatcher,0,0,1,0,13,1,0,0,-1.0,14,0
main,org.mockito,ArgumentMatchers,0,0,57,56,586,59,2,0,-1.0,1,7
main,org.mockito,BDDMockito,3,0,66,39,358,66,0,2,0.5757575757575758,0,6
main,org.mockito,BDDMyOngoingStubbing,0,0,9,0,51,9,1,0,-1.0,0,1
main,org.mockito,BDDOngoingStubbingImpl,1,0,10,10,33,10,0,1,0.0,0,2
main,org.mockito,Then,0,0,6,0,37,6,1,0,-1.0,0,2
main,org.mockito,ThenImpl,1,0,7,6,48,7,0,1,0.0,0,2
main,org.mockito,BDDStubber,0,0,11,0,62,11,1,0,-1.0,0,1
main,org.mockito,BDDStubberImpl,1,0,12,12,42,12,0,1,0.0,0,2
main,org.mockito,InOrder,0,0,3,0,22,3,0,0,-1.0,3,1
main,org.mockito,Matchers,0,0,0,0,5,0,0,1,-1.0,0,0
main,org.mockito,MockingDetails,0,0,8,0,50,8,0,0,-1.0,3,0
main,org.mockito,Mockito,7,6,39,38,343,39,1,1,0.28205128205128205,17,6
main,org.mockito,MockitoAnnotations,0,0,1,1,15,2,0,0,-1.0,3,1
main,org.mockito,MockitoDebugger,0,0,1,0,9,1,0,0,-1.0,0,0
main,org.mockito,MockitoFramework,0,0,4,0,32,4,0,0,-1.0,0,1
main,org.mockito,MockitoSession,0,0,1,0,11,1,0,0,-1.0,0,0
main,org.mockito,MockSettings,0,0,14,0,92,14,0,0,-1.0,5,3
main,org.mockito.configuration,AnnotationEngine,0,0,0,0,6,0,0,0,-1.0,0,0
main,org.mockito.configuration,DefaultMockitoConfiguration,0,0,4,4,17,4,0,1,-1.0,0,0
main,org.mockito.configuration,IMockitoConfiguration,0,0,4,0,23,4,1,0,-1.0,2,0
main,org.mockito.exceptions.base,MockitoAssertionError,2,0,3,3,27,3,0,0,0.0,1,2
main,org.mockito.exceptions.base,MockitoException,2,0,4,3,23,4,0,0,0.0,0,1
main,org.mockito.exceptions.base,MockitoInitializationException,1,0,2,2,9,2,0,0,1.0,0,0
main,org.mockito.exceptions.base,MockitoSerializationIssue,1,0,3,2,20,3,0,0,0.0,0,1
main,org.mockito.exceptions.misusing,CannotStubVoidMethodWithReturnValue,0,0,1,1,5,1,0,0,-1.0,0,0
main,org.mockito.exceptions.misusing,CannotVerifyStubOnlyMock,0,0,1,1,5,1,0,0,-1.0,0,0
main,org.mockito.exceptions.misusing,FriendlyReminderException,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.misusing,InvalidUseOfMatchersException,1,0,2,2,9,2,0,0,1.0,0,0
main,org.mockito.exceptions.misusing,MissingMethodInvocationException,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.misusing,MockitoConfigurationException,1,0,2,2,9,2,0,0,1.0,0,0
main,org.mockito.exceptions.misusing,NotAMockException,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.misusing,NullInsteadOfMockException,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.misusing,PotentialStubbingProblem,0,0,1,1,9,1,0,0,-1.0,0,0
main,org.mockito.exceptions.misusing,RedundantListenerException,0,0,1,1,9,1,0,0,-1.0,0,0
main,org.mockito.exceptions.misusing,UnfinishedMockingSessionException,0,0,1,1,9,1,0,0,-1.0,0,0
main,org.mockito.exceptions.misusing,UnfinishedStubbingException,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.misusing,UnfinishedVerificationException,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.misusing,UnnecessaryStubbingException,0,0,1,1,8,1,0,0,-1.0,0,0
main,org.mockito.exceptions.misusing,WrongTypeOfReturnValue,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.stacktrace,StackTraceCleaner,0,0,1,0,11,1,0,0,-1.0,3,0
main,org.mockito.exceptions.verification,ArgumentsAreDifferent,1,0,2,2,9,2,0,0,1.0,0,0
main,org.mockito.exceptions.verification,NeverWantedButInvoked,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.verification,NoInteractionsWanted,1,0,1,1,9,1,0,0,0.0,0,0
main,org.mockito.exceptions.verification,SmartNullPointerException,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.verification,TooLittleActualInvocations,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.verification,TooManyActualInvocations,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.verification,VerificationInOrderFailure,1,0,1,1,6,1,0,0,0.0,0,0
main,org.mockito.exceptions.verification,WantedButNotInvoked,1,0,2,2,9,2,0,0,1.0,0,0
main,org.mockito.exceptions.verification.junit,ArgumentsAreDifferent,3,0,4,4,21,4,0,0,0.5,0,1
main,org.mockito.hamcrest,MockitoHamcrest,0,0,10,9,91,10,0,0,-1.0,0,0
main,org.mockito.internal.configuration,CaptorAnnotationProcessor,0,0,1,1,13,2,0,1,-1.0,0,1
main,org.mockito.internal.configuration,ClassPathLoader,1,1,1,1,27,1,0,0,0.0,0,0
main,org.mockito.internal.configuration,DefaultInjectionEngine,0,0,1,1,8,1,0,0,-1.0,0,1
main,org.mockito.internal.configuration,FieldAnnotationProcessor,0,0,1,0,6,1,2,0,-1.0,1,0
main,org.mockito.internal.configuration,GlobalConfiguration,2,0,9,7,47,12,0,0,0.2222222222222222,1,2
main,org.mockito.internal.configuration,IndependentAnnotationEngine,1,0,7,3,52,12,0,0,0.5714285714285714,0,1
main,org.mockito.internal.configuration,InjectingAnnotationEngine,2,0,5,2,50,8,0,0,0.0,0,1
main,org.mockito.internal.configuration,MockAnnotationProcessor,0,0,1,1,25,5,0,1,-1.0,0,2
main,org.mockito.internal.configuration,SpyAnnotationEngine,0,0,7,1,82,18,0,0,-1.0,1,4
main,org.mockito.internal.configuration.injection,ConstructorInjection,1,0,5,4,43,9,0,1,0.8,0,2
main,org.mockito.internal.configuration.injection,SimpleArgumentResolver,1,0,3,2,22,6,0,0,0.0,1,0
main,org.mockito.internal.configuration.injection,MockInjection,5,0,9,7,62,10,0,0,0.2222222222222222,1,1
main,org.mockito.internal.configuration.injection,OngoingMockInjection,5,0,7,5,39,8,0,0,0.0,0,1
main,org.mockito.internal.configuration.injection,MockInjectionStrategy,1,0,6,3,55,8,3,0,0.5,3,1
main,org.mockito.internal.configuration.injection,PropertyAndSetterInjection,2,0,6,2,59,10,0,1,0.3333333333333333,0,3
main,org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,0,0,1,0,24,3,0,1,-1.0,0,3
main,org.mockito.internal.configuration.injection.filter,MockCandidateFilter,0,0,1,0,3,1,3,0,-1.0,3,0
main,org.mockito.internal.configuration.injection.filter,NameBasedCandidateFilter,1,0,5,2,33,10,0,1,0.0,0,2
main,org.mockito.internal.configuration.injection.filter,OngoingInjector,1,0,2,1,19,2,0,0,-1.0,3,1
main,org.mockito.internal.configuration.injection.filter,TerminalMockCandidateFilter,0,0,2,2,25,5,0,1,-1.0,0,1
main,org.mockito.internal.configuration.injection.filter,TypeBasedCandidateFilter,1,0,2,2,15,4,0,1,0.0,0,1
main,org.mockito.internal.configuration.injection.scanner,InjectMocksScanner,1,0,4,2,42,8,0,0,0.5,0,0
main,org.mockito.internal.configuration.injection.scanner,MockScanner,2,0,6,2,54,10,0,0,0.0,0,2
main,org.mockito.internal.configuration.plugins,DefaultMockitoPlugins,2,0,4,2,36,5,0,0,0.0,2,0
main,org.mockito.internal.configuration.plugins,DefaultPluginSwitch,0,0,1,1,5,1,0,0,-1.0,0,0
main,org.mockito.internal.configuration.plugins,PluginFileReader,0,0,2,0,18,5,0,0,-1.0,1,2
main,org.mockito.internal.configuration.plugins,PluginFinder,1,0,2,1,29,5,0,0,0.0,0,2
main,org.mockito.internal.configuration.plugins,PluginLoader,3,0,5,2,66,9,0,0,0.4,0,3
main,org.mockito.internal.configuration.plugins,PluginRegistry,5,0,4,0,31,4,0,0,1.0,1,6
main,org.mockito.internal.configuration.plugins,Plugins,1,0,5,5,36,5,0,0,0.4,7,1
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,11,0,14,4,185,17,0,0,0.5,1,4
main,org.mockito.internal.creation.bytebuddy,CrossClassLoaderSerializationProxy,4,0,2,1,46,2,0,0,0.0,0,2
main,org.mockito.internal.creation.bytebuddy,MockitoMockObjectInputStream,2,0,4,1,56,5,0,0,0.0,0,1
main,org.mockito.internal.creation.bytebuddy,MockitoMockObjectOutputStream,1,0,3,1,30,4,0,0,0.6666666666666666,0,0
main,org.mockito.internal.creation.bytebuddy,CrossClassLoaderSerializableMock,0,0,1,0,6,1,0,0,-1.0,1,0
main,org.mockito.internal.creation.bytebuddy,ByteBuddyMockMaker,1,0,5,5,21,5,0,1,0.0,0,3
main,org.mockito.internal.creation.bytebuddy,BytecodeGenerator,0,0,1,0,3,1,3,0,-1.0,4,1
main,org.mockito.internal.creation.bytebuddy,ClassCreatingMockMaker,0,0,1,0,3,1,3,0,-1.0,1,1
main,org.mockito.internal.creation.bytebuddy,InlineByteBuddyMockMaker,4,0,9,8,143,22,0,1,0.3333333333333333,0,9
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,10,0,12,7,121,23,0,1,0.4166666666666667,0,6
main,org.mockito.internal.creation.bytebuddy,ParameterWritingVisitorWrapper,2,0,6,4,36,8,0,0,0.6666666666666666,0,0
main,org.mockito.internal.creation.bytebuddy,ParameterAddingClassVisitor,1,0,2,1,20,4,0,0,0.0,0,0
main,org.mockito.internal.creation.bytebuddy,MethodParameterStrippingMethodVisitor,0,0,2,2,7,2,0,0,-1.0,0,0
main,org.mockito.internal.creation.bytebuddy,InterceptedInvocation,12,1,22,21,94,24,0,0,0.2727272727272727,1,6
main,org.mockito.internal.creation.bytebuddy,MockAccess,0,0,2,0,4,2,0,0,-1.0,6,1
main,org.mockito.internal.creation.bytebuddy,MockFeatures,4,0,2,1,15,2,0,0,0.0,6,0
main,org.mockito.internal.creation.bytebuddy,MockMethodAdvice,14,0,25,11,208,39,0,1,0.28,5,8
main,org.mockito.internal.creation.bytebuddy,RealMethodCall,4,0,3,2,27,4,0,0,0.6666666666666666,0,2
main,org.mockito.internal.creation.bytebuddy,SerializableRealMethodCall,4,0,3,2,32,5,0,0,0.6666666666666666,0,3
main,org.mockito.internal.creation.bytebuddy,ReturnValueWrapper,1,0,2,1,9,2,0,0,0.0,0,0
main,org.mockito.internal.creation.bytebuddy,SelfCallInfo,0,0,2,0,10,2,0,0,-1.0,2,0
main,org.mockito.internal.creation.bytebuddy,ForHashCode,0,0,2,0,11,3,0,0,-1.0,0,1
main,org.mockito.internal.creation.bytebuddy,ForEquals,0,0,2,0,11,3,0,0,-1.0,0,1
main,org.mockito.internal.creation.bytebuddy,ForReadObject,0,0,1,1,9,2,0,0,-1.0,0,3
main,org.mockito.internal.creation.bytebuddy,MockMethodDispatcher,1,0,6,6,18,7,1,0,0.8333333333333334,7,1
main,org.mockito.internal.creation.bytebuddy,MockMethodInterceptor,4,0,13,10,66,16,0,0,0.3076923076923077,7,8
main,org.mockito.internal.creation.bytebuddy,ForHashCode,0,0,1,1,5,1,0,0,-1.0,0,0
main,org.mockito.internal.creation.bytebuddy,ForEquals,0,0,1,1,5,1,0,0,-1.0,0,0
main,org.mockito.internal.creation.bytebuddy,ForWriteReplace,0,0,1,1,5,1,0,0,-1.0,0,1
main,org.mockito.internal.creation.bytebuddy,DispatcherDefaultingToRealMethod,0,0,2,2,14,4,0,0,-1.0,1,2
main,org.mockito.internal.creation.bytebuddy,SubclassByteBuddyMockMaker,1,0,13,9,85,22,0,1,0.7692307692307693,1,10
main,org.mockito.internal.creation.bytebuddy,SubclassBytecodeGenerator,5,0,11,4,65,17,0,1,0.18181818181818182,1,7
main,org.mockito.internal.creation.bytebuddy,SubclassInjectionLoader,0,0,1,1,5,1,0,1,-1.0,0,0
main,org.mockito.internal.creation.bytebuddy,SubclassLoader,0,0,1,0,3,1,1,0,-1.0,2,0
main,org.mockito.internal.creation.bytebuddy,TypeCachingBytecodeGenerator,5,0,6,5,51,10,0,1,0.0,0,3
main,org.mockito.internal.creation.bytebuddy,MockitoMockKey,2,0,3,2,22,6,0,0,0.0,2,1
main,org.mockito.internal.creation,DelegatingMethod,2,0,10,10,48,12,0,0,0.0,1,2
main,org.mockito.internal.creation,MockSettingsImpl,4,0,29,25,158,43,0,0,0.7241379310344828,2,7
main,org.mockito.internal.creation,SuspendMethod,1,0,1,1,11,2,0,0,0.0,2,0
main,org.mockito.internal.creation.instance,ConstructorInstantiator,2,0,11,2,125,31,0,1,0.18181818181818182,1,3
main,org.mockito.internal.creation.instance,DefaultInstantiatorProvider,1,0,1,1,11,2,0,0,0.0,0,2
main,org.mockito.internal.creation.instance,InstantiationException,0,0,1,1,5,1,0,0,-1.0,0,0
main,org.mockito.internal.creation.instance,Instantiator,0,0,1,0,9,1,2,0,-1.0,4,0
main,org.mockito.internal.creation.instance,ObjenesisInstantiator,1,0,1,1,6,1,0,1,0.0,0,0
main,org.mockito.internal.creation.settings,CreationSettings,16,0,22,22,99,22,0,0,0.18181818181818182,3,3
main,org.mockito.internal.creation.util,MockitoMethodProxy,0,0,1,0,3,1,0,0,-1.0,0,0
main,org.mockito.internal.debugging,FindingsListener,0,0,3,0,5,3,1,0,-1.0,1,2
main,org.mockito.internal.debugging,InvocationsPrinter,0,0,2,2,40,8,0,0,-1.0,0,2
main,org.mockito.internal.debugging,Localized,2,0,3,3,14,3,0,0,0.0,1,1
main,org.mockito.internal.debugging,LocationImpl,3,0,5,4,25,6,0,0,0.4,0,1
main,org.mockito.internal.debugging,LoggingListener,4,0,7,5,57,13,0,1,0.0,2,3
main,org.mockito.internal.debugging,MockitoDebuggerImpl,1,0,3,1,39,7,0,0,0.0,0,2
main,org.mockito.internal.debugging,VerboseMockInvocationLogger,2,0,9,3,49,11,0,0,0.2222222222222222,0,2
main,org.mockito.internal.debugging,WarningsCollector,1,0,2,2,12,2,0,0,0.0,2,2
main,org.mockito.internal.debugging,WarningsFinder,2,0,2,2,31,7,0,0,0.0,1,3
main,org.mockito.internal.debugging,WarningsPrinterImpl,2,0,3,2,16,3,0,0,0.0,0,2
main,org.mockito.internal.exceptions,ExceptionIncludingMockitoWarnings,1,0,1,1,6,1,0,0,0.0,1,0
main,org.mockito.internal.exceptions,MockitoLimitations,1,1,0,0,3,0,0,0,-1.0,1,0
main,org.mockito.internal.exceptions,Reporter,0,0,83,75,305,92,0,0,-1.0,8,11
main,org.mockito.internal.exceptions,VerificationAwareInvocation,0,0,1,0,3,1,0,0,-1.0,0,0
main,org.mockito.internal.exceptions.stacktrace,ConditionalStackTraceFilter,3,0,1,1,12,2,0,0,0.0,5,2
main,org.mockito.internal.exceptions.stacktrace,DefaultStackTraceCleaner,0,0,5,1,28,7,0,0,-1.0,1,1
main,org.mockito.internal.exceptions.stacktrace,DefaultStackTraceCleanerProvider,0,0,1,1,8,1,0,0,-1.0,0,1
main,org.mockito.internal.exceptions.stacktrace,StackTraceFilter,2,0,1,1,17,3,0,0,0.0,2,1
main,org.mockito.internal.exceptions.util,ScenarioPrinter,0,0,1,1,17,4,0,0,-1.0,1,0
main,org.mockito.internal.framework,DefaultMockitoFramework,0,0,4,4,18,4,0,0,-1.0,0,3
main,org.mockito.internal.framework,DefaultMockitoSession,2,0,5,5,31,5,0,0,0.6,0,5
main,org.mockito.internal.hamcrest,HamcrestArgumentMatcher,1,0,3,3,12,3,0,0,0.0,0,0
main,org.mockito.internal.hamcrest,MatcherGenericTypeExtractor,0,0,1,1,11,1,0,0,-1.0,0,0
main,org.mockito.internal.handler,InvocationNotifierHandler,2,0,6,4,48,8,0,0,0.0,0,3
main,org.mockito.internal.handler,MockHandlerFactory,0,0,1,1,10,1,0,0,-1.0,0,2
main,org.mockito.internal.handler,MockHandlerImpl,4,0,6,4,68,12,0,0,0.0,0,10
main,org.mockito.internal.handler,NotifiedMethodInvocationReport,3,0,9,9,55,11,0,0,0.0,1,2
main,org.mockito.internal.handler,NullResultGuardian,1,0,4,4,23,5,0,0,0.0,0,2
main,org.mockito.internal,InOrderImpl,3,0,7,7,38,10,0,0,0.42857142857142855,2,5
main,org.mockito.internal,InternalMockHandler,0,0,0,0,5,0,0,0,-1.0,0,0
main,org.mockito.internal,MockitoCore,0,0,15,14,132,31,0,0,-1.0,5,16
main,org.mockito.internal.invocation,AbstractAwareMethod,0,0,1,0,3,1,1,0,-1.0,0,0
main,org.mockito.internal.invocation,ArgumentMatcherAction,0,0,1,0,9,1,1,0,-1.0,2,1
main,org.mockito.internal.invocation,ArgumentsProcessor,0,0,4,2,43,9,0,0,-1.0,3,3
main,org.mockito.internal.invocation,DefaultInvocationFactory,0,0,1,1,6,1,0,0,-1.0,0,3
main,org.mockito.internal.invocation,InvocationComparator,0,0,1,1,8,1,0,0,-1.0,1,1
main,org.mockito.internal.invocation,InvocationMarker,0,0,4,3,19,6,0,0,-1.0,1,4
main,org.mockito.internal.invocation,InvocationMatcher,2,0,15,13,93,24,0,0,0.2,6,3
main,org.mockito.internal.invocation,InvocationsFinder,2,0,17,12,136,35,0,0,0.35294117647058826,1,5
main,org.mockito.internal.invocation,RemoveNotMatching,1,0,2,1,9,2,0,0,0.0,0,2
main,org.mockito.internal.invocation,RemoveUnverifiedInOrder,1,0,2,2,9,2,0,0,0.0,0,2
main,org.mockito.internal.invocation,MatcherApplicationStrategy,3,0,8,2,75,15,0,0,0.0,2,4
main,org.mockito.internal.invocation,MatchersBinder,0,0,2,1,20,5,0,0,-1.0,1,2
main,org.mockito.internal.invocation,MockitoMethod,0,0,6,0,8,6,1,1,-1.0,3,0
main,org.mockito.internal.invocation,RealMethod,2,0,7,5,33,7,1,0,-1.0,5,0
main,org.mockito.internal.invocation,FromCallable,2,0,3,3,19,3,0,1,0.6666666666666666,0,0
main,org.mockito.internal.invocation,SerializableMethod,9,0,10,10,79,24,0,2,0.2,3,2
main,org.mockito.internal.invocation,StubInfoImpl,2,0,2,2,10,2,0,0,0.0,0,1
main,org.mockito.internal.invocation,TypeSafeMatching,1,0,6,2,43,11,0,1,0.5,1,3
main,org.mockito.internal.invocation,UnusedStubsFinder,0,0,1,1,18,4,0,0,-1.0,1,1
main,org.mockito.internal.invocation.finder,AllInvocationsFinder,0,0,3,2,30,5,0,0,-1.0,5,0
main,org.mockito.internal.invocation.finder,VerifiableInvocationsFinder,0,0,3,2,16,3,0,0,-1.0,2,3
main,org.mockito.internal.invocation.finder,RemoveIgnoredForVerification,0,0,1,1,5,1,0,0,-1.0,0,1
main,org.mockito.internal.junit,ArgMismatchFinder,0,0,1,0,19,5,0,0,-1.0,0,2
main,org.mockito.internal.junit,DefaultStubbingLookupListener,2,0,5,1,47,10,0,0,0.0,3,4
main,org.mockito.internal.junit,DefaultTestFinishedEvent,3,0,4,4,19,4,0,1,0.0,1,0
main,org.mockito.internal.junit,ExceptionFactory,1,0,5,1,34,6,0,0,0.8,2,2
main,org.mockito.internal.junit,JUnitArgsAreDifferent,0,0,1,0,8,1,0,0,-1.0,1,0
main,org.mockito.internal.junit,JUnitRule,2,0,6,5,53,8,0,0,0.3333333333333333,0,5
main,org.mockito.internal.junit,MismatchReportingTestListener,2,0,3,3,21,4,0,1,0.0,0,4
main,org.mockito.internal.junit,MockitoTestListener,0,0,1,0,6,1,4,0,-1.0,1,1
main,org.mockito.internal.junit,NoOpTestListener,0,0,2,2,6,2,0,1,-1.0,0,2
main,org.mockito.internal.junit,StrictStubsRunnerTestListener,1,0,2,2,11,2,0,1,1.0,0,3
main,org.mockito.internal.junit,StubbingArgMismatches,1,0,4,4,34,8,0,0,0.0,1,3
main,org.mockito.internal.junit,StubbingHint,1,0,3,1,18,4,0,0,0.0,2,0
main,org.mockito.internal.junit,TestFinishedEvent,0,0,3,0,5,3,1,0,-1.0,6,0
main,org.mockito.internal.junit,UniversalTestListener,4,0,6,4,53,11,0,1,0.0,3,6
main,org.mockito.internal.junit,UnnecessaryStubbingsReporter,1,0,2,2,17,3,0,0,0.0,1,2
main,org.mockito.internal.junit,UnusedStubbings,1,0,6,4,39,10,0,0,0.3333333333333333,1,4
main,org.mockito.internal.junit,UnusedStubbingsFinder,0,0,3,3,39,7,0,0,-1.0,0,2
main,org.mockito.internal.junit,VerificationCollectorImpl,3,0,11,8,67,12,0,0,0.2727272727272727,0,3
main,org.mockito.internal.junit,VerificationWrapper,1,0,3,2,17,3,0,0,0.6666666666666666,0,2
main,org.mockito.internal.junit.util,JUnitFailureHacker,0,0,6,1,56,9,0,0,-1.0,1,2
main,org.mockito.internal.junit.util,TestName,0,0,1,1,8,1,0,0,-1.0,1,1
main,org.mockito.internal.listeners,StubbingLookupListener,0,0,1,0,11,1,0,0,-1.0,0,2
