Project Name,Package Name,Type Name,Method Name,Code Smell
main,org.mockito,Mockito,spy,Long Statement
main,org.mockito,MockitoAnnotations,initMocks,Long Statement
main,org.mockito.internal.configuration,CaptorAnnotationProcessor,process,Long Statement
main,org.mockito.internal.configuration,ClassPathLoader,loadConfiguration,Long Identifier
main,org.mockito.internal.configuration,ClassPathLoader,loadConfiguration,Long Statement
main,org.mockito.internal.configuration,ClassPathLoader,loadConfiguration,Long Statement
main,org.mockito.internal.configuration,DefaultInjectionEngine,injectMocksOnFields,Long Statement
main,org.mockito.internal.configuration,SpyAnnotationEngine,spyInstance,Long Statement
main,org.mockito.internal.configuration,SpyAnnotationEngine,spyNewInstance,Long Statement
main,org.mockito.internal.configuration,SpyAnnotationEngine,spyNewInstance,Long Statement
main,org.mockito.internal.configuration.injection,PropertyAndSetterInjection,injectMockCandidates,Long Identifier
main,org.mockito.internal.configuration.injection,PropertyAndSetterInjection,injectMockCandidatesOnFields,Long Identifier
main,org.mockito.internal.configuration.injection,PropertyAndSetterInjection,injectMockCandidatesOnFields,Long Statement
main,org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,processInjection,Long Statement
main,org.mockito.internal.configuration.injection.filter,NameBasedCandidateFilter,filterCandidate,Long Statement
main,org.mockito.internal.configuration.injection.filter,NameBasedCandidateFilter,filterCandidate,Long Statement
main,org.mockito.internal.configuration.injection.filter,NameBasedCandidateFilter,anotherCandidateMatchesMockName,Complex Conditional
main,org.mockito.internal.configuration.injection.filter,NameBasedCandidateFilter,anotherCandidateMatchesMockName,Long Statement
main,org.mockito.internal.configuration.plugins,DefaultMockitoPlugins,create,Long Statement
main,org.mockito.internal.configuration.plugins,DefaultMockitoPlugins,create,Long Statement
main,org.mockito.internal.configuration.plugins,PluginLoader,loadPlugin,Long Statement
main,org.mockito.internal.configuration.plugins,PluginLoader,loadPlugin,Long Statement
main,org.mockito.internal.configuration.plugins,PluginLoader,invoke,Long Statement
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,writeReplace,Long Statement
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,mockReplacementCompleted,Long Identifier
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,mockReplacementStarted,Long Identifier
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,mockIsCurrentlyBeingReplaced,Long Identifier
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,readResolve,Long Statement
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,readResolve,Long Statement
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,resolveClass,Long Statement
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,resolveClass,Long Statement
main,org.mockito.internal.creation.bytebuddy,ByteBuddyCrossClassLoaderSerializationSupport,hackClassNameToMatchNewlyCreatedClass,Long Statement
main,org.mockito.internal.creation.bytebuddy,CrossClassLoaderSerializationProxy,readResolve,Long Statement
main,org.mockito.internal.creation.bytebuddy,CrossClassLoaderSerializationProxy,readResolve,Long Statement
main,org.mockito.internal.creation.bytebuddy,MockitoMockObjectInputStream,resolveClass,Long Statement
main,org.mockito.internal.creation.bytebuddy,MockitoMockObjectInputStream,resolveClass,Long Statement
main,org.mockito.internal.creation.bytebuddy,MockitoMockObjectInputStream,hackClassNameToMatchNewlyCreatedClass,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineByteBuddyMockMaker,InlineByteBuddyMockMaker,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineByteBuddyMockMaker,createMockType,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineByteBuddyMockMaker,prettifyFailure,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineByteBuddyMockMaker,prettifyFailure,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineByteBuddyMockMaker,prettifyFailure,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,InlineBytecodeGenerator,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,mockClass,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,triggerRetransformation,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,checkSupportedCombination,Complex Conditional
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,checkSupportedCombination,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,transform,Complex Conditional
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,transform,Long Parameter List
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,transform,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,wrap,Long Parameter List
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,wrap,Long Statement
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,visitMethod,Long Parameter List
main,org.mockito.internal.creation.bytebuddy,InlineBytecodeGenerator,visitMethod,Long Statement
main,org.mockito.internal.creation.bytebuddy,ParameterWritingVisitorWrapper,wrap,Long Parameter List
main,org.mockito.internal.creation.bytebuddy,ParameterWritingVisitorWrapper,wrap,Long Statement
main,org.mockito.internal.creation.bytebuddy,ParameterWritingVisitorWrapper,visitMethod,Long Parameter List
main,org.mockito.internal.creation.bytebuddy,ParameterWritingVisitorWrapper,visitMethod,Long Statement
main,org.mockito.internal.creation.bytebuddy,ParameterAddingClassVisitor,visitMethod,Long Parameter List
main,org.mockito.internal.creation.bytebuddy,ParameterAddingClassVisitor,visitMethod,Long Statement
main,org.mockito.internal.creation.bytebuddy,MockMethodAdvice,enter,Complex Conditional
main,org.mockito.internal.creation.bytebuddy,MockMethodAdvice,isOverridden,Long Statement
main,org.mockito.internal.creation.bytebuddy,MockMethodAdvice,tryInvoke,Long Statement
