Project Name,Package Name,Type Name,Code Smell
ant1.1,com.oreilly.servlet,MailPrintStream,Unutilized Abstraction
ant1.1,org.apache.tools.ant,BuildEvent,Cyclic-Dependent Modularization
ant1.1,org.apache.tools.ant,BuildListener,Cyclic-Dependent Modularization
ant1.1,org.apache.tools.ant,DesirableFilter,Unutilized Abstraction
ant1.1,org.apache.tools.ant,DirectoryScanner,Insufficient Modularization
ant1.1,org.apache.tools.ant,IntrospectionHelper,Insufficient Modularization
ant1.1,org.apache.tools.ant,Location,Deficient Encapsulation
ant1.1,org.apache.tools.ant,Map,Unutilized Abstraction
ant1.1,org.apache.tools.ant,Path,Deficient Encapsulation
ant1.1,org.apache.tools.ant,Project,Deficient Encapsulation
ant1.1,org.apache.tools.ant,Project,Cyclic-Dependent Modularization
ant1.1,org.apache.tools.ant,Project,Insufficient Modularization
ant1.1,org.apache.tools.ant,ProjectHelper,Insufficient Modularization
ant1.1,org.apache.tools.ant,AbstractHandler,Unutilized Abstraction
ant1.1,org.apache.tools.ant,RootHandler,Unutilized Abstraction
ant1.1,org.apache.tools.ant,ProjectHandler,Unutilized Abstraction
ant1.1,org.apache.tools.ant,TargetHandler,Unutilized Abstraction
ant1.1,org.apache.tools.ant,TaskHandler,Unutilized Abstraction
ant1.1,org.apache.tools.ant,NestedElementHandler,Unutilized Abstraction
ant1.1,org.apache.tools.ant,Target,Cyclic-Dependent Modularization
ant1.1,org.apache.tools.ant,Task,Cyclic-Dependent Modularization
ant1.1,org.apache.tools.ant,TaskAdapter,Cyclic-Dependent Modularization
ant1.1,org.apache.tools.ant,AllJUnitTests,Unutilized Abstraction
ant1.1,org.apache.tools.ant,EnumeratedAttributeTest,Unutilized Abstraction
ant1.1,org.apache.tools.ant,TestNormal,Unutilized Abstraction
ant1.1,org.apache.tools.ant,TestNull,Unutilized Abstraction
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,Unutilized Abstraction
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,Insufficient Modularization
ant1.1,org.apache.tools.ant,PathTest,Unutilized Abstraction
ant1.1,org.apache.tools.ant,PathTest,Deficient Encapsulation
ant1.1,org.apache.tools.ant.taskdefs,Ant,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,AntStructure,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Available,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Chmod,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Chmod,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,CompileTask,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Copydir,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Copydir,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,Copyfile,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Cvs,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Delete,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Delete,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,Deltree,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Echo,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,StreamPumper,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Expand,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Filter,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,Get,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,GUnzip,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,GZip,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Jar,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Jar,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,Javac,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Javac,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,JarFilenameFilter,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,JavacOutputStream,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Javadoc,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Javadoc,Insufficient Modularization
ant1.1,org.apache.tools.ant.taskdefs,JavaReader,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Jikes,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Mkdir,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Patch,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Rename,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Replace,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Replace,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,Rmic,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Rmic,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,SignJar,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Tar,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Tar,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,TaskOutputStream,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Tstamp,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Untar,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,XSLTProcess,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,XSLTProcess,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs,Zip,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs,Zip,Broken Hierarchy
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,DDCreator,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,Ejbc,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,WLRun,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,WLStop,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional,NetRexxC,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional,NetRexxC,Insufficient Modularization
ant1.1,org.apache.tools.ant.taskdefs.optional,RenameExtensions,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional,Script,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional,XalanLiaison,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional,XslpLiaison,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional.vss,MSVSS,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional.vss,MSVSS,Deficient Encapsulation
ant1.1,org.apache.tools.ant.taskdefs.optional.vss,MSVSSGET,Unutilized Abstraction
ant1.1,org.apache.tools.ant.taskdefs.optional.vss,MSVSSGET,Broken Hierarchy
ant1.1,org.apache.tools.tar,TarBuffer,Deficient Encapsulation
ant1.1,org.apache.tools.tar,TarConstants,Unutilized Abstraction
ant1.1,org.apache.tools.tar,TarConstants,Deficient Encapsulation
ant1.1,org.apache.tools.tar,TarConstants,Broken Modularization
ant1.1,org.apache.tools.tar,TarEntry,Unutilized Abstraction
ant1.1,org.apache.tools.tar,TarEntry,Broken Hierarchy
ant1.1,org.apache.tools.tar,TarEntry,Insufficient Modularization
ant1.1,org.apache.tools.tar,TarInputStream,Unutilized Abstraction
ant1.1,org.apache.tools.tar,TarOutputStream,Unutilized Abstraction
