Project Name,Package Name,Type Name,Method Name,Code Smell
ant1.1,com.oreilly.servlet,MailMessage,sanitizeAddress,Complex Method
ant1.1,com.oreilly.servlet,MailMessage,connect,Magic Number
ant1.1,org.apache.tools.ant,DefaultLogger,formatTime,Magic Number
ant1.1,org.apache.tools.ant,DefaultLogger,formatTime,Magic Number
ant1.1,org.apache.tools.ant,DefaultLogger,formatTime,Magic Number
ant1.1,org.apache.tools.ant,DirectoryScanner,matchPath,Complex Method
ant1.1,org.apache.tools.ant,DirectoryScanner,matchPath,Long Method
ant1.1,org.apache.tools.ant,DirectoryScanner,match,Complex Method
ant1.1,org.apache.tools.ant,DirectoryScanner,scandir,Complex Method
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Method
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant1.1,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant1.1,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Complex Method
ant1.1,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Method
ant1.1,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant1.1,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant1.1,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant1.1,org.apache.tools.ant,Main,Main,Complex Conditional
ant1.1,org.apache.tools.ant,Main,Main,Complex Conditional
ant1.1,org.apache.tools.ant,Main,Main,Complex Conditional
ant1.1,org.apache.tools.ant,Main,Main,Complex Conditional
ant1.1,org.apache.tools.ant,Main,Main,Complex Method
ant1.1,org.apache.tools.ant,Main,Main,Magic Number
ant1.1,org.apache.tools.ant,Main,runBuild,Long Statement
ant1.1,org.apache.tools.ant,Main,runBuild,Long Statement
ant1.1,org.apache.tools.ant,Main,runBuild,Long Statement
ant1.1,org.apache.tools.ant,PathTokenizer,nextToken,Complex Conditional
ant1.1,org.apache.tools.ant,Project,detectJavaVersion,Empty catch clause
ant1.1,org.apache.tools.ant,Project,createTask,Long Statement
ant1.1,org.apache.tools.ant,Project,resolveFile,Complex Conditional
ant1.1,org.apache.tools.ant,Project,resolveFile,Complex Conditional
ant1.1,org.apache.tools.ant,Project,resolveFile,Complex Conditional
ant1.1,org.apache.tools.ant,Project,resolveFile,Complex Method
ant1.1,org.apache.tools.ant,Project,resolveFile,Magic Number
ant1.1,org.apache.tools.ant,Project,translatePath,Magic Number
ant1.1,org.apache.tools.ant,Project,copyFile,Magic Number
ant1.1,org.apache.tools.ant,Project,copyFile,Magic Number
ant1.1,org.apache.tools.ant,Project,tsort,Long Parameter List
ant1.1,org.apache.tools.ant,ProjectHelper,init,Complex Method
ant1.1,org.apache.tools.ant,ProjectHelper,init,Complex Method
ant1.1,org.apache.tools.ant,ProjectHelper,replaceProperties,Magic Number
ant1.1,org.apache.tools.ant,ProjectHelper,replaceProperties,Magic Number
ant1.1,org.apache.tools.ant,ProjectHandler,init,Complex Method
ant1.1,org.apache.tools.ant,TargetHandler,init,Complex Method
ant1.1,org.apache.tools.ant,XmlLogger,messageLogged,Missing default
ant1.1,org.apache.tools.ant,XmlLogger,write,Complex Method
ant1.1,org.apache.tools.ant,XmlLogger,formatTime,Magic Number
ant1.1,org.apache.tools.ant,XmlLogger,formatTime,Magic Number
ant1.1,org.apache.tools.ant,XmlLogger,formatTime,Magic Number
ant1.1,org.apache.tools.ant,EnumeratedAttributeTest,testExceptions,Empty catch clause
ant1.1,org.apache.tools.ant,EnumeratedAttributeTest,testExceptions,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testAddText,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testElementCreators,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testAttributeSetters,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testAttributeSetters,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testAttributeSetters,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testAttributeSetters,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testAttributeSetters,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testAttributeSetters,Empty catch clause
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,testAttributeSetters,Long Method
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,setEight,Magic Number
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,setNine,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testConstructor,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testConstructor,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testConstructor,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testConstructor,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testConstructor,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testConstructor,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testConstructor,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testAppending,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testAppending,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testAppending,Magic Number
ant1.1,org.apache.tools.ant,PathTest,testAppending,Magic Number
ant1.1,org.apache.tools.ant.taskdefs,Delete,execute,Complex Method
ant1.1,org.apache.tools.ant.taskdefs,Exec,run,Complex Method
ant1.1,org.apache.tools.ant.taskdefs,Exec,run,Empty catch clause
ant1.1,org.apache.tools.ant.taskdefs,Exec,run,Empty catch clause
ant1.1,org.apache.tools.ant.taskdefs,Exec,run,Empty catch clause
ant1.1,org.apache.tools.ant.taskdefs,StreamPumper,run,Empty catch clause
ant1.1,org.apache.tools.ant.taskdefs,StreamPumper,run,Empty catch clause
ant1.1,org.apache.tools.ant.taskdefs,Expand,execute,Empty catch clause
ant1.1,org.apache.tools.ant.taskdefs,Expand,execute,Magic Number
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,setTablength,Magic Number
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Complex Conditional
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Complex Method
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Long Method
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Long Statement
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,execute,Magic Number
