Project Name,Package Name,Type Name,Code Smell
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibHandler,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,Cyclic-Dependent Modularization
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrarySpec,Cyclic-Dependent Modularization
ant-rel-1.5.2,org.apache.ant.antcore.antlib,ClassNameHandler,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.antlib,ComponentLibrary,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.antlib,DefinitionHandler,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.antlib,DynamicLibrary,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.config,AntConfigHandler,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,Cyclic-Dependent Modularization
ant-rel-1.5.2,org.apache.ant.antcore.execution,Constants,Unnecessary Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.execution,Constants,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreDataService,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreEventService,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreExecService,Cyclic-Dependent Modularization
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreFileService,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreInputService,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.execution,DeferredSetter,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.execution,ExecutionContext,Cyclic-Dependent Modularization
ant-rel-1.5.2,org.apache.ant.antcore.execution,Frame,Cyclic-Dependent Modularization
ant-rel-1.5.2,org.apache.ant.antcore.execution,Frame,Insufficient Modularization
ant-rel-1.5.2,org.apache.ant.antcore.execution,TaskAdapter,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,BuildElementHandler,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,BuildElementHandler,Broken Hierarchy
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,IncludeHandler,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,IncludeHandler,Cyclic-Dependent Modularization
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ModelElementHandler,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,NoProjectReadException,Unnecessary Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,NoProjectReadException,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ProjectHandler,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ProjectHandler,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ProjectHandler,Broken Hierarchy
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ProjectHandler,Cyclic-Dependent Modularization
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,TargetHandler,Unutilized Abstraction
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,TargetHandler,Deficient Encapsulation
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,TargetHandler,Broken Hierarchy
