Project Name,Package Name,Type Name,Method Name,Code Smell
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,addAntLibraries,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,configLibraries,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,loadLibs,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,loadLibs,Empty catch clause
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,configLibrary,Complex Method
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,configLibrary,Long Parameter List
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,getFactory,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,getFactory,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,getFactory,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,getFactory,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.config,AntConfigHandler,startElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,BuildEventSupport,threadOutput,Empty catch clause
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Magic Number
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Magic Number
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Magic Number
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,ClassIntrospector,Magic Number
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,importComponent,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,importFrameComponent,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,createComponent,Long Parameter List
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,createComponent,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,importLibraryDef,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,createComponent,Complex Method
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,createComponent,Long Parameter List
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,createComponent,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,createComponent,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,createTypeInstance,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,createTypeInstance,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addNestedElement,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addNestedElement,Complex Method
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addNestedElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addNestedElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addNestedElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addNestedElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addNestedElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addNestedElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,configureElement,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,configureElement,Complex Method
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,configureElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,configureElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,configureElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,defineComponent,Long Parameter List
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addLibraryConverters,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addLibraryConverters,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addLibraryConverters,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addLibraryConverters,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,addLibraryConverters,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,Frame,setOverrideProperty,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,Frame,getOverrideProperty,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,Frame,isOverrideSet,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,Reflector,setAttribute,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,Reflector,addElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,Reflector,createElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.execution,Reflector,addAttributeMethod,Empty catch clause
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ProjectHandler,startElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ProjectHandler,validateAttribute,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,TargetHandler,validateAttribute,Complex Conditional
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,TargetHandler,validateAttribute,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.xml,ElementHandler,start,Long Parameter List
ant-rel-1.5.2,org.apache.ant.antcore.xml,ElementHandler,startElement,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.xml,ElementHandler,throwInvalidAttribute,Long Statement
ant-rel-1.5.2,org.apache.ant.antcore.xml,RootHandler,RootHandler,Long Parameter List
ant-rel-1.5.2,org.apache.tools.ant,Ant1Factory,createComponent,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,Ant1Factory,createConverter,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,Project,translatePath,Magic Number
ant-rel-1.5.2,org.apache.tools.ant,Project,copyFile,Long Parameter List
ant-rel-1.5.2,org.apache.tools.ant,Project,copyFile,Long Parameter List
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Conditional
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Complex Method
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Empty catch clause
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Empty catch clause
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,IntrospectionHelper,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Complex Method
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Empty catch clause
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Method
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,IntrospectionHelper,createAttributeSetter,Long Statement
ant-rel-1.5.2,org.apache.tools.ant,Project,addDefinitionOnRole,Complex Conditional
ant-rel-1.5.2,org.apache.tools.ant,Project,createInRole,Complex Method
ant-rel-1.5.2,org.apache.tools.ant,Project,translatePath,Magic Number
