Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibDefinition,AntLibDefinition,5,1,3
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibDefinition,AntLibDefinition,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibDefinition,AntLibDefinition,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibDefinition,AntLibDefinition,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibHandler,AntLibHandler,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibHandler,AntLibHandler,12,2,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibHandler,AntLibHandler,26,4,4
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibHandler,AntLibHandler,8,3,2
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,AntLibManager,3,1,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,AntLibManager,27,6,2
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,AntLibManager,16,5,4
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,AntLibManager,6,2,2
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,AntLibManager,13,2,2
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,AntLibManager,6,2,2
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,AntLibManager,51,13,6
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,AntLibManager,6,1,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,8,1,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,9,3,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,23,2,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,AntLibrary,3,1,1
