Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibDefinition,3,0,4,4,52,4,0,0,0.0,3,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibHandler,8,7,4,3,111,10,0,0,0.5,1,3
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibManager,2,1,8,6,198,32,0,0,0.0,1,8
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrary,10,0,13,12,173,16,0,1,0.0,4,4
ant-rel-1.5.2,org.apache.ant.antcore.antlib,AntLibrarySpec,10,0,19,19,196,22,0,0,0.5263157894736842,3,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,ClassNameHandler,1,1,3,2,38,5,0,0,0.0,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,ComponentLibrary,2,2,4,0,38,4,2,0,-1.0,2,1
ant-rel-1.5.2,org.apache.ant.antcore.antlib,DefinitionHandler,3,2,6,5,68,8,0,0,0.0,1,0
ant-rel-1.5.2,org.apache.ant.antcore.antlib,DynamicLibrary,6,1,6,6,86,6,0,1,0.3333333333333333,1,3
ant-rel-1.5.2,org.apache.ant.antcore.config,AntConfig,4,0,9,9,89,9,0,0,0.0,6,2
ant-rel-1.5.2,org.apache.ant.antcore.config,AntConfigHandler,5,4,4,3,76,7,0,0,0.5,1,2
ant-rel-1.5.2,org.apache.ant.antcore.execution,AttributeSetter,4,0,6,5,93,8,0,0,0.0,1,1
ant-rel-1.5.2,org.apache.ant.antcore.execution,BuildEventSupport,2,0,11,11,148,20,0,0,0.0,3,5
ant-rel-1.5.2,org.apache.ant.antcore.execution,ClassIntrospector,2,0,4,2,76,11,0,0,0.0,1,1
ant-rel-1.5.2,org.apache.ant.antcore.execution,ComponentManager,10,0,24,9,594,72,0,0,0.0,1,21
ant-rel-1.5.2,org.apache.ant.antcore.execution,Constants,2,2,0,0,15,0,0,0,-1.0,2,0
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreDataService,2,0,8,7,133,17,0,0,0.25,0,2
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreEventService,1,0,3,2,34,3,0,0,0.0,0,2
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreExecService,2,0,11,9,150,13,0,0,0.18181818181818182,1,9
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreFileService,2,0,2,1,32,2,0,0,0.0,0,2
ant-rel-1.5.2,org.apache.ant.antcore.execution,CoreInputService,1,0,2,1,25,2,0,0,1.0,0,2
ant-rel-1.5.2,org.apache.ant.antcore.execution,DeferredSetter,0,0,10,10,96,10,0,1,-1.0,0,1
ant-rel-1.5.2,org.apache.ant.antcore.execution,ExecutionContext,5,0,7,4,91,9,0,0,0.2857142857142857,2,4
ant-rel-1.5.2,org.apache.ant.antcore.execution,ExecutionException,0,0,6,6,54,6,0,0,-1.0,2,1
ant-rel-1.5.2,org.apache.ant.antcore.execution,ExecutionManager,4,0,6,6,106,10,0,0,0.0,1,6
ant-rel-1.5.2,org.apache.ant.antcore.execution,Frame,13,0,41,1,687,92,0,0,0.0,9,17
ant-rel-1.5.2,org.apache.ant.antcore.execution,ImportInfo,2,0,5,5,52,5,0,0,0.0,1,2
ant-rel-1.5.2,org.apache.ant.antcore.execution,Reflector,5,0,20,16,317,38,0,1,0.35,1,4
ant-rel-1.5.2,org.apache.ant.antcore.execution,ElementAdder,0,0,1,0,15,1,0,0,-1.0,1,0
ant-rel-1.5.2,org.apache.ant.antcore.execution,ElementCreator,0,0,1,0,16,1,0,0,-1.0,1,0
ant-rel-1.5.2,org.apache.ant.antcore.execution,Setter,0,0,10,0,73,10,2,0,-1.0,1,0
ant-rel-1.5.2,org.apache.ant.antcore.execution,TaskAdapter,2,0,2,2,46,3,0,0,0.0,0,0
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,BuildElementHandler,1,0,5,3,60,7,0,1,0.4,4,2
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,IncludeHandler,2,1,3,2,55,5,0,0,0.0,1,2
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ModelElementHandler,1,0,2,0,26,3,3,0,0.0,0,1
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,NoProjectReadException,0,0,0,0,7,0,0,0,-1.0,0,0
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,ProjectHandler,7,6,6,5,117,12,0,1,0.0,2,4
ant-rel-1.5.2,org.apache.ant.antcore.modelparser,TargetHandler,6,5,4,3,83,7,0,1,0.0,1,2
