Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
main,com.oreilly.servlet,MailMessage,MailMessage,3,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,9,1,1
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,1
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,1
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,1
main,com.oreilly.servlet,MailMessage,MailMessage,3,1,1
main,com.oreilly.servlet,MailMessage,MailMessage,3,1,1
main,com.oreilly.servlet,MailMessage,MailMessage,3,1,2
main,com.oreilly.servlet,MailMessage,MailMessage,8,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,3,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,3,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,3,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,11,3,1
main,com.oreilly.servlet,MailMessage,MailMessage,10,2,0
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,31,9,1
main,com.oreilly.servlet,MailMessage,MailMessage,6,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,7,2,0
main,com.oreilly.servlet,MailMessage,MailMessage,5,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,1
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,1
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,4,1,0
main,com.oreilly.servlet,MailMessage,MailMessage,7,2,2
main,com.oreilly.servlet,MailMessage,MailMessage,8,3,2
main,com.oreilly.servlet,MailMessage,MailMessage,5,4,0
main,com.oreilly.servlet,MailPrintStream,MailPrintStream,3,1,1
main,com.oreilly.servlet,MailPrintStream,MailPrintStream,14,3,1
main,com.oreilly.servlet,MailPrintStream,MailPrintStream,5,2,3
main,com.oreilly.servlet,MailPrintStream,MailPrintStream,3,1,1
main,com.oreilly.servlet,MailPrintStream,MailPrintStream,6,2,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,6,1,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,6,1,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,6,1,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,4,1,2
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,1
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildEvent,BuildEvent,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,1
main,org.apache.tools.ant,BuildException,BuildException,4,1,2
main,org.apache.tools.ant,BuildException,BuildException,4,1,3
main,org.apache.tools.ant,BuildException,BuildException,4,1,1
main,org.apache.tools.ant,BuildException,BuildException,4,1,2
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
main,org.apache.tools.ant,BuildException,BuildException,3,1,0
