Project Name,Package Name,Type Name,Code Smell
main,org.apache.tools.ant,AntClassLoader,Cyclic-Dependent Modularization
main,org.apache.tools.ant,AntClassLoader,Insufficient Modularization
main,org.apache.tools.ant,ResourceEnumeration,Unutilized Abstraction
main,org.apache.tools.ant,BuildEvent,Cyclic-Dependent Modularization
main,org.apache.tools.ant,BuildListener,Cyclic-Dependent Modularization
main,org.apache.tools.ant,DefaultLogger,Deficient Encapsulation
main,org.apache.tools.ant,DemuxOutputStream,Unutilized Abstraction
main,org.apache.tools.ant,BufferInfo,Unnecessary Abstraction
main,org.apache.tools.ant,Diagnostics,Cyclic-Dependent Modularization
main,org.apache.tools.ant,DirectoryScanner,Cyclic-Dependent Modularization
main,org.apache.tools.ant,DirectoryScanner,Insufficient Modularization
main,org.apache.tools.ant,ExitException,Unutilized Abstraction
main,org.apache.tools.ant,IntrospectionHelper,Missing Hierarchy
main,org.apache.tools.ant,IntrospectionHelper,Cyclic-Dependent Modularization
main,org.apache.tools.ant,IntrospectionHelper,Insufficient Modularization
main,org.apache.tools.ant,AttributeSetter,Cyclic-Dependent Modularization
main,org.apache.tools.ant,Location,Deficient Encapsulation
main,org.apache.tools.ant,Main,Deficient Encapsulation
main,org.apache.tools.ant,Main,Cyclic-Dependent Modularization
main,org.apache.tools.ant,NoBannerLogger,Unutilized Abstraction
main,org.apache.tools.ant,Project,Deficient Encapsulation
main,org.apache.tools.ant,Project,Cyclic-Dependent Modularization
main,org.apache.tools.ant,Project,Insufficient Modularization
main,org.apache.tools.ant,ProjectHelper,Deficient Encapsulation
main,org.apache.tools.ant,ProjectHelper,Cyclic-Dependent Modularization
main,org.apache.tools.ant,RuntimeConfigurable,Cyclic-Dependent Modularization
main,org.apache.tools.ant,Target,Cyclic-Dependent Modularization
main,org.apache.tools.ant,Task,Wide Hierarchy
main,org.apache.tools.ant,Task,Cyclic-Dependent Modularization
main,org.apache.tools.ant,TaskAdapter,Cyclic-Dependent Modularization
main,org.apache.tools.ant,UnknownElement,Unexploited Encapsulation
main,org.apache.tools.ant,UnknownElement,Missing Hierarchy
main,org.apache.tools.ant,UnknownElement,Cyclic-Dependent Modularization
main,org.apache.tools.ant,XmlLogger,Unutilized Abstraction
main,org.apache.tools.ant,TimedElement,Unnecessary Abstraction
main,org.apache.tools.ant.filters,BaseFilterReader,Unutilized Abstraction
main,org.apache.tools.ant.filters,BaseParamFilterReader,Unutilized Abstraction
main,org.apache.tools.ant.filters,BaseParamFilterReader,Broken Hierarchy
main,org.apache.tools.ant.filters,ChainableReader,Unutilized Abstraction
main,org.apache.tools.ant.filters,ChainableReader,Wide Hierarchy
main,org.apache.tools.ant.filters,ClassConstants,Unutilized Abstraction
main,org.apache.tools.ant.filters,ExpandProperties,Unutilized Abstraction
main,org.apache.tools.ant.filters,ExpandProperties,Cyclic-Dependent Modularization
main,org.apache.tools.ant.filters,HeadFilter,Unutilized Abstraction
main,org.apache.tools.ant.filters,HeadFilter,Broken Hierarchy
main,org.apache.tools.ant.filters,LineContains,Unutilized Abstraction
main,org.apache.tools.ant.filters,LineContains,Broken Hierarchy
main,org.apache.tools.ant.filters,LineContainsRegExp,Unutilized Abstraction
main,org.apache.tools.ant.filters,LineContainsRegExp,Broken Hierarchy
