Project Name,Package Name,Type Name,Code Smell
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorAdd,Unnecessary Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorAdd,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorRemove,Unnecessary Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorRemove,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorResourceDefinition,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystemAdd,Unnecessary Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystemModel,Broken Modularization
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystemModel,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CMPSubsystemRootResourceDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpTransformers,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorAdd,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorAdd,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorRemove,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorResourceDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorAdd,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorAdd,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorRemove,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorResourceDefinition,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorResourceDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem10TestCase,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminExtension,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminExtension,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,Broken Hierarchy
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminRootResource,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationAdd,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationResource,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ModelConstants,Unnecessary Abstraction
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORASContextDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSASContextDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSettingsDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSettingsParser,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORTransportConfigDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemAdd,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemConstants,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemDefinitions,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemDefinitions,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,Insufficient Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemResource,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemResource,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacorbReloadRequiredWriteAttributeHandler,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtils,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBMigrateTestCase,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtilsTestCase,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.jaxr.extension,JAXRConstants,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.jaxr.extension,JAXRConstants,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.jaxr.extension,JAXRExtension,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jaxr.extension,JAXRPropertyDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jaxr.extension,JAXRSubsystemParser,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.jaxr.extension,JAXRSubsystemRootResource,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jaxr.extension,JAXRSubsystemWriter,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.jaxr.extension,JaxrSubsystemTestCase,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.messaging,AbstractTransportDefinition,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.messaging,AddressSettingDefinition,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.messaging,AddressSettingDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.messaging,AddressSettingsValidator,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.messaging,AttributeMarshallers,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.messaging,AttributeInsideElementMarshaller,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.messaging,WrappedListAttributeMarshaller,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.messaging,JndiEntriesAttributeMarshaller,Unutilized Abstraction
wildfly-16.0.0.Final,org.jboss.as.messaging,BridgeDefinition,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.messaging,BridgeDefinition,Cyclic-Dependent Modularization
wildfly-16.0.0.Final,org.jboss.as.messaging,BroadcastGroupDefinition,Deficient Encapsulation
wildfly-16.0.0.Final,org.jboss.as.messaging,BroadcastGroupDefinition,Cyclic-Dependent Modularization
