Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorResourceDefinition,AbstractKeyGeneratorResourceDefinition,3,1,4
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorResourceDefinition,AbstractKeyGeneratorResourceDefinition,0,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorResourceDefinition,AbstractKeyGeneratorResourceDefinition,5,2,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,CmpExtension,3,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,CmpExtension,8,1,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,CmpExtension,4,1,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,CmpExtension,3,1,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,CmpSubsystem10Parser,2,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,CmpSubsystem10Parser,20,3,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,CmpSubsystem10Parser,21,4,3
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,CmpSubsystem10Parser,24,4,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,CmpSubsystem10Parser,38,7,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,CmpSubsystem10Parser,23,6,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,CmpSubsystem10Parser,9,3,3
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,CmpSubsystem10Parser,6,1,3
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,CmpSubsystem11Parser,2,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,CmpSubsystem11Parser,44,8,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,CmpSubsystem11Parser,30,5,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CMPSubsystemRootResourceDefinition,CMPSubsystemRootResourceDefinition,4,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpTransformers,CmpTransformers,3,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpTransformers,CmpTransformers,6,1,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorAdd,HiLoKeyGeneratorAdd,5,2,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorRemove,HiLoKeyGeneratorRemove,2,1,0
