Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorAdd,0,0,0,0,5,0,2,0,-1.0,0,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorRemove,0,0,0,0,5,0,2,0,-1.0,0,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,AbstractKeyGeneratorResourceDefinition,2,2,3,2,17,4,2,0,0.6666666666666666,1,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpExtension,5,1,4,2,28,4,0,0,0.0,7,3
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem10Parser,0,0,8,2,148,29,1,0,-1.0,0,3
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystem11Parser,0,0,3,0,82,14,0,1,-1.0,0,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystemAdd,1,0,0,0,6,0,0,0,-1.0,2,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpSubsystemModel,16,0,0,0,21,0,0,0,-1.0,5,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CMPSubsystemRootResourceDefinition,1,0,1,0,10,1,0,0,0.0,1,3
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpTransformers,0,0,2,2,14,2,0,0,-1.0,0,3
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorAdd,1,0,1,0,11,2,0,1,0.0,1,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorRemove,1,0,1,0,8,1,0,1,0.0,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,HiLoKeyGeneratorResourceDefinition,13,0,2,1,45,2,0,1,1.0,4,4
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorAdd,1,0,2,0,13,3,0,1,1.0,1,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorRemove,1,0,1,0,8,1,0,1,0.0,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,UUIDKeyGeneratorResourceDefinition,3,3,3,2,30,4,0,1,0.6666666666666666,4,4
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem10TestCase,0,0,8,2,61,8,1,0,-1.0,0,1
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,0,0,7,1,61,7,0,1,-1.0,0,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminAdd,1,0,1,0,10,1,0,0,0.0,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminExtension,5,2,4,3,28,4,0,0,0.5,4,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,1,0,4,2,69,12,0,1,0.75,1,3
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminRootResource,0,0,2,2,11,2,0,0,-1.0,0,2
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationAdd,1,0,2,0,12,2,0,0,1.0,2,2
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationResource,3,0,4,4,24,4,0,0,1.0,2,3
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ModelConstants,3,0,0,0,10,0,0,0,-1.0,2,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,4,0,7,5,60,7,1,0,-1.0,0,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,2,0,9,4,45,10,0,0,1.0,0,1
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORASContextDefinition,6,0,5,3,28,5,0,0,0.6,4,4
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSASContextDefinition,4,0,5,3,26,5,0,0,0.6,4,4
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSettingsDefinition,2,0,3,1,17,3,0,0,1.0,3,5
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORSettingsParser,2,0,3,2,18,3,0,0,0.6666666666666666,1,6
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORTransportConfigDefinition,10,0,5,3,32,5,0,0,0.6,3,3
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBExtension,5,1,5,1,53,7,0,0,0.0,11,8
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemAdd,1,0,5,0,64,15,0,0,0.8,2,5
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemConstants,76,76,1,0,87,1,0,0,0.0,12,0
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemDefinitions,61,42,1,1,93,1,0,0,0.0,10,2
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,8,0,38,6,818,132,0,0,0.13157894736842105,3,6
