Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Package,"(Unnamed_Package)",,,,1470,668,,,,122
Public Class,"A",1,0,0,3,3,,1,0,0
Public Class,"A",0,0,0,6,6,,1,0,0
Public Class,"A",1,0,0,3,3,,3,0,0
Public Class,"A",0,0,0,4,4,,1,0,0
Private Static Class,"A.Inner",0,0,0,4,4,,1,0,0
Private Static Class,"A.Inner",0,0,0,2,2,,3,0,0
Private Static Class,"A.Inner.Inner2",0,0,0,2,2,,3,0,0
File,"A.java",,,,22,5,,,,0
File,"A.java",,,,23,6,,,,0
File,"A.java",,,,40,17,,,,3
File,"A.java",,,,20,3,,,,0
File,"A.java",,,,21,4,,,,0
File,"ANTLR.java",,,,434,244,,,,51
File,"ANTLRTest.java",,,,204,103,,,,18
Class,"APrivate",0,0,0,2,2,,3,0,0
File,"AbstractAccessTask.java",,,,114,40,,,,7
File,"AbstractAnalyzer.java",,,,291,119,,,,26
File,"AbstractClasspathResource.java",,,,278,159,,,,36
File,"AbstractCvsTask.java",,,,849,391,,,,93
File,"AbstractCvsTaskTest.java",,,,73,44,,,,5
File,"AbstractFileSet.java",,,,994,534,,,,130
File,"AbstractFileSetTest.java",,,,245,185,,,,22
File,"AbstractHotDeploymentTool.java",,,,188,60,,,,16
File,"AbstractJUnit3TestMissed.java",,,,27,6,,,,1
File,"AbstractJUnit3TestNotMissed.java",,,,31,8,,,,1
File,"AbstractJUnitResultFormatter.java",,,,288,180,,,,41
File,"AbstractJarSignerTask.java",,,,420,170,,,,39
File,"AbstractResourceCollectionWrapper.java",,,,207,110,,,,27
File,"AbstractScriptComponent.java",,,,169,58,,,,14
File,"AbstractSelectorContainer.java",,,,387,176,,,,48
File,"AbstractSshMessage.java",,,,293,150,,,,31
File,"AbstractTestMissed.java",,,,29,7,,,,1
File,"AbstractTestNotMissed.java",,,,32,9,,,,1
File,"AbstractUnicodeExtraField.java",,,,183,99,,,,22
File,"AbstractXSLTLiaisonTest.java",,,,110,59,,,,6
File,"AddTypeTest.java",,,,220,171,,,,30
File,"AggregateTransformer.java",,,,399,203,,,,35
File,"Algorithm.java",,,,48,6,,,,0
File,"AllButFirst.java",,,,48,15,,,,2
File,"AllButLast.java",,,,55,22,,,,3
Public Class,"Alpha",0,1,1,5,5,,1,0,1
File,"Alpha.java",,,,21,5,,,,1
Public Method,"Alpha.toString",,,,3,3,1,,,1
File,"AlwaysFailingJUnit4Test.java",,,,16,9,,,,1
File,"AncestorAnalyzer.java",,,,137,74,,,,15
File,"And.java",,,,43,9,,,,1
File,"And.java",,,,51,12,,,,4
File,"AndSelector.java",,,,62,19,,,,4
File,"AnsiColorLogger.java",,,,245,110,,,,17
File,"Ant.java",,,,812,428,,,,95
File,"AntAnalyzer.java",,,,120,69,,,,9
File,"AntAssert.java",,,,78,22,,,,6
File,"AntClassLoader.java",,,,1575,737,,,,183
File,"AntClassLoader2.java",,,,35,9,,,,1
File,"AntClassLoader5.java",,,,55,13,,,,1
File,"AntClassLoaderDelegationTest.java",,,,122,75,,,,6
File,"AntClassLoaderPerformance.java",,,,56,29,,,,3
File,"AntClassLoaderTest.java",,,,255,185,,,,16
File,"AntFilterReader.java",,,,176,92,,,,24
File,"AntLikeTasksAtTopLevelTest.java",,,,59,30,,,,3
File,"AntMain.java",,,,42,6,,,,0
File,"AntResolver.java",,,,119,57,,,,10
File,"AntSoundPlayer.java",,,,258,134,,,,28
File,"AntStructure.java",,,,442,267,,,,43
File,"AntStructureTest.java",,,,118,76,,,,8
File,"AntTest.java",,,,609,472,,,,99
Public Class,"AntTimestamp",1,0,1,21,6,,1,0,1
File,"AntTimestamp.java",,,,45,11,,,,1
Public Method,"AntTimestamp.when",,,,13,4,1,,,1
File,"AntTypeDefinition.java",,,,378,191,,,,47
File,"AntVersion.java",,,,174,97,,,,24
File,"AntVersionTest.java",,,,48,21,,,,3
File,"AntXMLContext.java",,,,414,165,,,,41
File,"Antlib.java",,,,185,107,,,,15
File,"AntlibDefinition.java",,,,81,26,,,,6
File,"AntlibTest.java",,,,105,61,,,,10
File,"ApacheCatalog.java",,,,123,40,,,,7
File,"ApacheCatalogResolver.java",,,,171,52,,,,6
File,"Appendable.java",,,,35,6,,,,0
File,"Arc.java",,,,121,64,,,,14
File,"ArchiveFileSet.java",,,,603,301,,,,70
File,"ArchiveResource.java",,,,307,169,,,,44
File,"ArchiveScanner.java",,,,364,154,,,,35
File,"Archives.java",,,,215,112,,,,23
File,"ArgumentProcessor.java",,,,88,10,,,,0
File,"ArgumentProcessorRegistry.java",,,,167,115,,,,21
File,"AsiExtraField.java",,,,352,132,,,,25
File,"AsiExtraFieldTest.java",,,,189,126,,,,10
Public Class,"AssertionMain",0,0,1,12,6,,1,0,1
File,"AssertionMain.java",,,,31,6,,,,1
Public Static Method,"AssertionMain.main",,,,4,4,1,,,1
Public Class,"AssertionTest",0,0,3,25,15,,2,0,4
Public Constructor,"AssertionTest.AssertionTest",,,,3,3,1,,,1
File,"AssertionTest.java",,,,45,16,,,,4
Public Method,"AssertionTest.testAssertNotRaised",,,,3,3,1,,,1
Public Method,"AssertionTest.testAssertRaised",,,,8,7,2,,,2
File,"Assertions.java",,,,360,146,,,,36
