Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,SumCyclomatic,MaxInheritanceTree,PercentLackOfCohesion
Package,"(Unnamed_Package)",,668,,122,,
Public Class,"A",1,3,,0,1,0
Public Class,"A",0,6,,0,1,0
Public Class,"A",1,3,,0,3,0
Public Class,"A",0,4,,0,1,0
Private Static Class,"A.Inner",0,4,,0,1,0
Private Static Class,"A.Inner",0,2,,0,3,0
Private Static Class,"A.Inner.Inner2",0,2,,0,3,0
File,"A.java",,5,,0,,
File,"A.java",,17,,3,,
File,"A.java",,6,,0,,
File,"A.java",,3,,0,,
File,"A.java",,4,,0,,
File,"ANTLR.java",,244,,51,,
File,"ANTLRTest.java",,103,,18,,
Class,"APrivate",0,2,,0,3,0
File,"AbstractAccessTask.java",,40,,7,,
File,"AbstractAnalyzer.java",,119,,26,,
File,"AbstractClasspathResource.java",,159,,36,,
File,"AbstractCvsTask.java",,391,,93,,
File,"AbstractCvsTaskTest.java",,44,,5,,
File,"AbstractFileSet.java",,534,,130,,
File,"AbstractFileSetTest.java",,185,,22,,
File,"AbstractHotDeploymentTool.java",,60,,16,,
File,"AbstractJUnit3TestMissed.java",,6,,1,,
File,"AbstractJUnit3TestNotMissed.java",,8,,1,,
File,"AbstractJUnitResultFormatter.java",,180,,41,,
File,"AbstractJarSignerTask.java",,170,,39,,
File,"AbstractResourceCollectionWrapper.java",,110,,27,,
File,"AbstractScriptComponent.java",,58,,14,,
File,"AbstractSelectorContainer.java",,176,,48,,
File,"AbstractSshMessage.java",,150,,31,,
File,"AbstractTestMissed.java",,7,,1,,
File,"AbstractTestNotMissed.java",,9,,1,,
File,"AbstractUnicodeExtraField.java",,99,,22,,
File,"AbstractXSLTLiaisonTest.java",,59,,6,,
File,"AddTypeTest.java",,171,,30,,
File,"AggregateTransformer.java",,203,,35,,
File,"Algorithm.java",,6,,0,,
File,"AllButFirst.java",,15,,2,,
File,"AllButLast.java",,22,,3,,
Public Class,"Alpha",0,5,,1,1,0
File,"Alpha.java",,5,,1,,
Public Method,"Alpha.toString",,3,1,1,,
File,"AlwaysFailingJUnit4Test.java",,9,,1,,
File,"AncestorAnalyzer.java",,74,,15,,
File,"And.java",,12,,4,,
File,"And.java",,9,,1,,
File,"AndSelector.java",,19,,4,,
File,"AnsiColorLogger.java",,110,,17,,
File,"Ant.java",,428,,95,,
File,"AntAnalyzer.java",,69,,9,,
File,"AntAssert.java",,22,,6,,
File,"AntClassLoader.java",,737,,183,,
File,"AntClassLoader2.java",,9,,1,,
File,"AntClassLoader5.java",,13,,1,,
File,"AntClassLoaderDelegationTest.java",,75,,6,,
File,"AntClassLoaderPerformance.java",,29,,3,,
File,"AntClassLoaderTest.java",,185,,16,,
File,"AntFilterReader.java",,92,,24,,
File,"AntLikeTasksAtTopLevelTest.java",,30,,3,,
File,"AntMain.java",,6,,0,,
File,"AntResolver.java",,57,,10,,
File,"AntSoundPlayer.java",,134,,28,,
File,"AntStructure.java",,267,,43,,
File,"AntStructureTest.java",,76,,8,,
File,"AntTest.java",,472,,99,,
Public Class,"AntTimestamp",1,6,,1,1,0
File,"AntTimestamp.java",,11,,1,,
Public Method,"AntTimestamp.when",,4,1,1,,
File,"AntTypeDefinition.java",,191,,47,,
File,"AntVersion.java",,97,,24,,
File,"AntVersionTest.java",,21,,3,,
File,"AntXMLContext.java",,165,,41,,
File,"Antlib.java",,107,,15,,
File,"AntlibDefinition.java",,26,,6,,
File,"AntlibTest.java",,61,,10,,
File,"ApacheCatalog.java",,40,,7,,
File,"ApacheCatalogResolver.java",,52,,6,,
File,"Appendable.java",,6,,0,,
File,"Arc.java",,64,,14,,
File,"ArchiveFileSet.java",,301,,70,,
File,"ArchiveResource.java",,169,,44,,
File,"ArchiveScanner.java",,154,,35,,
File,"Archives.java",,112,,23,,
File,"ArgumentProcessor.java",,10,,0,,
File,"ArgumentProcessorRegistry.java",,115,,21,,
File,"AsiExtraField.java",,132,,25,,
File,"AsiExtraFieldTest.java",,126,,10,,
Public Class,"AssertionMain",0,6,,1,1,0
File,"AssertionMain.java",,6,,1,,
Public Static Method,"AssertionMain.main",,4,1,1,,
Public Class,"AssertionTest",0,15,,4,2,0
Public Constructor,"AssertionTest.AssertionTest",,3,1,1,,
File,"AssertionTest.java",,16,,4,,
Public Method,"AssertionTest.testAssertNotRaised",,3,1,1,,
Public Method,"AssertionTest.testAssertRaised",,7,2,2,,
File,"Assertions.java",,146,,36,,
File,"AssertionsTest.java",,77,,13,,
File,"Attrib.java",,91,,20,,
File,"AttributeNamespace.java",,3,,0,,
File,"AttributeNamespaceDef.java",,19,,1,,
File,"AugmentReference.java",,49,,11,,
File,"Available.java",,304,,68,,
File,"AvailableTest.java",,162,,31,,
Public Class,"B",0,2,,0,2,0
Public Class,"B",0,2,,0,1,0
Public Class,"B",0,2,,0,1,0
Public Class,"B",0,2,,0,1,0
File,"B.java",,10,,1,,
File,"B.java",,2,,0,,
File,"B.java",,2,,0,,
File,"B.java",,2,,0,,
File,"B.java",,2,,0,,
File,"BCFileSet.java",,29,,6,,
File,"BUnzip2.java",,57,,8,,
File,"BUnzip2Test.java",,38,,5,,
File,"BZip2.java",,28,,3,,
File,"BZip2Constants.java",,67,,0,,
File,"BZip2Resource.java",,34,,8,,
File,"BZip2Test.java",,63,,6,,
File,"Bad.java",,3,,0,,
File,"Base64Converter.java",,66,,5,,
File,"Base64ConverterTest.java",,21,,3,,
File,"BaseExtendSelector.java",,18,,2,,
File,"BaseFilterReader.java",,76,,19,,
File,"BaseIfAttribute.java",,24,,8,,
File,"BaseParamFilterReader.java",,22,,4,,
File,"BaseResourceCollectionContainer.java",,151,,36,,
File,"BaseResourceCollectionWrapper.java",,23,,4,,
File,"BaseSelector.java",,44,,12,,
File,"BaseSelectorContainer.java",,147,,39,,
File,"BaseSelectorRule.java",,62,,12,,
File,"BaseSelectorTest.java",,152,,35,,
File,"BaseTask.java",,52,,8,,
File,"BaseTest.java",,93,,26,,
File,"Basename.java",,39,,9,,
File,"BasenameTest.java",,63,,10,,
File,"BasicShape.java",,15,,3,,
File,"BatchTest.java",,70,,13,,
File,"BatchTestTest.java",,73,,4,,
File,"BeanShellScriptTest.java",,19,,2,,
Public Class,"Beta",0,9,,2,2,0
File,"Beta.java",,9,,2,,
Public Static Method,"Beta.main",,4,1,1,,
Public Method,"Beta.toString",,3,1,1,,
File,"BigProjectLogger.java",,76,,17,,
File,"BindTargets.java",,49,,11,,
File,"BlockFor.java",,20,,4,,
File,"BlockSort.java",,635,,150,,
File,"BlockSortTest.java",,97,,15,,
File,"BorlandDeploymentTool.java",,294,,53,,
File,"BorlandEJBTasks.html",,0,0,0,,
