,cbo,noc,cyclomatic,dit,lcom,rfc,wmc,designDefect
52940,0,0,1,0,0,0,1,0
16155,0,0,1,0,0,0,1,0
28626,0,0,4,0,0,0,4,0
12201,0,0,1,0,0,0,1,0
65150,0,0,1,0,0,0,1,0
67789,0,0,1,0,0,0,1,0
62310,0,0,1,0,0,0,1,0
33818,0,0,2,0,0,0,2,0
37033,0,0,2,0,0,0,2,0
52103,0,0,1,0,0,0,1,0
38479,0,0,1,0,0,0,1,0
45978,0,0,1,0,0,0,1,0
12465,0,0,1,0,0,0,1,0
2981,0,0,0,0,0,0,3,0
1122,0,0,0,0,0,0,4,0
8712,0,0,0,0,0,0,2,0
65888,0,0,0,1,0,1,1,0
1646,0,0,0,0,0,0,0,0
47616,1,0,0,2,0,3,0,0
78715,0,0,1,0,0,0,1,0
75507,0,0,1,0,0,0,1,0
46354,0,0,1,0,0,0,1,0
56879,0,0,1,0,0,0,1,0
79084,0,0,0,0,0,0,0,0
2727,0,0,0,0,0,0,2,0
74740,0,0,1,0,0,0,1,0
60991,0,0,0,1,50,1,1,0
85068,0,0,3,0,0,0,3,0
63036,0,0,3,0,0,0,3,0
58347,0,0,5,0,0,0,5,0
19976,0,0,0,0,0,0,0,0
8523,0,0,0,0,0,0,0,0
57050,1,1,0,1,33,3,4,0
17127,0,0,1,0,0,0,1,0
19764,0,0,7,0,0,0,7,0
1501,0,0,2,0,0,0,2,0
20259,0,0,1,0,0,0,1,0
6657,0,0,0,0,0,0,6,0
37718,0,0,0,0,0,0,0,0
50486,0,0,2,0,0,0,2,0
33122,0,0,1,0,0,0,1,0
19542,0,0,2,0,0,0,2,0
35728,0,0,1,0,0,0,1,0
6584,0,0,1,0,0,0,1,0
10601,0,0,1,0,0,0,1,0
6714,0,0,0,0,0,0,8,0
7389,2,0,0,1,0,1,1,0
19487,0,0,1,0,0,0,1,0
20662,1,0,0,1,0,2,2,0
39357,0,0,0,0,0,0,0,0
32666,0,0,0,1,0,2,2,0
34414,0,0,0,1,0,0,0,0
47326,0,0,0,0,0,0,0,0
9381,0,0,0,0,0,0,12,0
34595,0,0,2,0,0,0,2,0
59618,0,0,2,0,0,0,2,0
33885,0,0,2,0,0,0,2,0
63355,0,0,1,0,0,0,1,0
